Pick,Player,Nominator,Winner,,MAX,Pylons,Basteerds,Dook,Socal,Shaz,NoN,Lips,G' Stars,Dooms,Cin,3sheets,Hawt,,,Post draft work -->,UPDATE,STATUS,BY,,,TIEBREAK,,,,,,,
3.5,Brady Skjei D | NSH,Doomsday Machine,$5,,$5,,,$2,$1,$2,$0,$2,$3,$5,$3,$0,$0,,,,,,,,,Dmitri Voronkov W • CLB,RFA,,,F,2,0,101.4
3.6,Brock Boeser W | VAN,South Calgary Oilers,$5,,$5,$3,$4,$2,$5,$2,$0,$0,$4,$3,$3,$2,$4,,,,,,,,,Kent Johnson W • CLB,RFA,,,W,0,0,100.1
3.7,Timo Meier W | NJ,Doomsday Machine,$6,,$6,$3,$3,$2,fu,$4,$4,$5,$3,$6,$3,$2,$0,,,,,,,,,John-Jason Peterka W • BUF,RFA,,,W,2,0,98.7
3.8,John Carlson D | WAS,New Oilers Nation,$6,,$6,$3,$3,$2,$0,$0,$6,$0,$4,$6,$3,$5,$3,,,,,,,,,Brock Faber D • MIN,RFA,,,D,2,0,98.5
3.9,Noah Hanifin D | LV,Doomsday Machine,$5,,$5,$0,$4,$0,$0,$0,$0,$2,$4,$5,$3,$0,$4,,,,,,,,,Thomas Harley D • DAL,RFA,,,D,2,0,96.2
3.10,Jacob Markstrom G | NJ,LIP's Lasers,$4,,$4,$2,,$2,$1,$2,$3,$4,$4,$2,$0,$0,$3,,,,,,,,,Jake Neighbours W • STL,RFA,,,F,2,0,95.6
3.11,Brent Burns D | CAR,HawtSawwce,$3,,$3,$1,$2,$2,$2,$2,$0,$0,$3,$2,$3,$2,$3,,,,,,,,,Matthew Knies W • TOR,RFA,,,F,2,0,92.3
3.12,Evgeni Malkin C | PIT,Basteeerds,$4,,$4,$1,$4,$1,$2,$0,$0,$2,$0,$2,$3,$0,$0,,,,,,,,,Jesperi Kotkaniemi C • CAR,RFA,,,F,2,0,88.8
4.1,pass,,,,$3,,,,,,,,,,$3,-,,,,,,,,,,Hendrix Lapierre C • WAS,RFA,,,F,2,0,88.2
4.2,Andrei Svechnikov W | CAR,3sheets,$7,,$7,,,$2,,$0,$4,$7,$4,$5,$3,,$4,,,,,,,,,Pavel Mintyukov D • ANA,RFA,,,D,2,0,84.3
4.3,Jake Neighbours W | STL,Shazam!!!,$3,,$3,,,$1,$0,,$0,$0,$3,$0,$3,-,,,,,,,,,,Ridly Greig C • OTT,RFA,,,F,3,0,82.1
4.4,pass,,,,$0,,,,,,,,,$0,$0,-,,,,,,,,,,Kaapo Kakko W • NYR,RFA,,,W,2,0,80.3
4.5,Ukko-Pekka Luukkonen G | BUF,South Calgary Oilers,$3,,$3,$2,,$1,,$0,$0,$0,$2,$2,,$3,,,,,,,,,,Samuel Girard D • COL,RFA,,,D,2,0,77
4.6,Clayton Keller C | UTA,The Pylons,$7,,$7,,,$2,$5,$6,$7,$6,$4,$6,$3,$0,,,,,,,,,,Cam York D • PHI,RFA,,,D,3,0,74.6
4.7,Brock Faber D | MIN,Shazam!!!,$8,,$8,$6,$2,$1,$5,,$0,$3,$0,$8,$3,$6,$4,,,,,,,,,Lukas Reichel W • CHI,RFA,,,F,2,0,71.2
4.8,Trevor Zegras C | ANA,South Calgary Oilers,$4,,$4,$3,$2,$1,,$0,$0,$4,$3,$2,$2,$0,,,,,,,,,,Olen Zellweger D • ANA,RFA,,,D,2,0,69.8
4.9,pass,,,,$6,,,,,,,,,$6,,,,,,,,,,,,Alexander Holtz W • LV,RFA,,,F,2,0,69.5
4.10,Seth Jarvis W | CAR,3sheets,$6,,$6,$2,,$0,,$4,$3,$4,$6,$6,$3,-,$0,,,,,,,,,Pyotr Kochetkov G • CAR,RFA,,,G,2,0,62.2
4.11,Drake Batherson W | OTT,LIP's Lasers,$4,,$4,,,$0,,$2,$0,$4,,$2,$3,,$4,,,,,,,,,Brandt Clarke D • LA,RFA,,,D,3,0,61.4
4.12,Owen Tippett W | PHI,G' Stars,$4,,$4,,$2,$0,$3,$2,$0,$0,$4,$2,$3,,$4,,,,,,,,,Matthew Coronato W • CGY,RFA,,,W,4,0,60.3
5.1,pass,,,,$0,,,,,,,,,,,,,,,,,,,,,Jamie Drysdale D • PHI,RFA,,,D,2,0,56.1
5.2,pass,,,,$0,,,,,,,,,,,,,,,,,,,,,Simon Edvinsson D • DET,RFA,,,D,0,0,44.2
5.3,Gabriel Vilardi C | WPG,G' Stars,$4,,$4,$2,$2,$0,$3,,$0,$0,$4,$2,$2,,,,,,,,,,,Kevin Korchinski D • CHI,RFA,,,D,3,0,38.5
5.6,Thomas Harley D | DAL,Doomsday Machine,$6,,$6,,,$0,,$3,,$0,$2,$6,$3,,,,,,,,,,,Nicolas Hague D • LV,RFA,,,D,2,0,32.4
5.10,Matias Maccelli W | UTA,CinStars,$3,,$3,,,,,,$3,,,,,,,,,,,,,,,Calen Addison D • OTT,RFA,,,D,2,0,23.2
5.11,Yaroslav Askarov G | SJ,The Dook of Sook,$0,,$3,,,,,$3,,,,,,,,,,,,,,,,Akira Schmid G • LV,RFA,,,G,3,0,0
5.12,pass,,,,$0,,,,,,,,,,,,,,,,,,,,,Axel Sandin Pellikka D • DET,RFA,,,D,2,0,0
6.0,Shane Pinto C | OTT,CinStars,$3,,$3,,,$0,,,$0,,,,$3,,,,,,,,,,,Chaz Lucius C • WPG,RFA,,,C,0,0,0
6.1,Josh Norris C | OTT,CinStars,$3,,$0,,,,,,,,$0,,$0,,,,,,,,,,,RFA's,,,,,,,

6.2,Simon Edvinsson D | DET,The Dook of Sook,$2,,$2,,,,,$2,$0,,,$2,$2,,,,,,,,,,,,,,,,,,
6.3,Logan Stankoven C | DAL,Doomsday Machine,$3,,$3,,,,,$2,$0,,,$2,$3,,,,,,,,,,,,,,,,,,
,,,,,$2,$2,$2,,,,,,,,$2,,,,,,,,,,,,,,,,,,
,,,,,$3,,,,,,,,,$2,$2,$3,,,,,,,,,,,,,,,,,
6.4,Yegor Sharangovich W | CGY,The Dook of Sook,$4,,$4,,,,,$2,$0,,,$4,$3,$2,$2,,,,,,,,,,,,,,,,
6.5,Brandt Clarke D | LA,The Pylons,$3,,$3,,,,,,$0,,,$3,$3,,,,,,,,,,,,,,,,,,
6.6,Joel Farabee W | PHI,CinStars,$2,,$2,,,,,,,,,,$2,,,,,,,,,,,,,,,,,,
6.7,William Eklund W | SJ,The Pylons,$3,,$3,,,,,,$0,$3,,,$2,,,,,,,,,,,,,,,,,,
