Pick,Player,Nominator,Winner,,MAX,Pylons,Basteerds,Dook,Socal,Shaz,NoN,Lips,G' Stars,Dooms,Cin,3sheets,Hawt,,,Post draft work -->,UPDATE,STATUS,BY,,,TIEBREAK,,,,,,,
1.1,Connor McDavid C | EDM,Doomsday Machine,$30,,$30,$9,$19,$5,$18,$19,$25,$15,$20,$30,$0,$25,$2,,,,,,,,,,RFA,,,F,4,0,229.1
1.2,Evan Bouchard D | EDM,3sheets,$15,,$15,$9,$14,$5,$9,$15,$10,$15,$14,$7,$0,$0,$2,,,,,,,,Hawt,,RFA,,,D,20,0,228.8
1.3,Quinn Hughes D | VAN,CinStars,$18,,$15,$9,$14,$6,$15,$10,$15,$15,$15,$9,,$0,$4,,,,,,,,DeGen,,RFA,,,F,13,0,226.6
1.4,Auston Matthews C | TOR,LIP's Lasers,$16,,$15,$9,$14,$6,$14,$8,$12,$15,$14,$12,$2,$0,$2,,,,,,,,3sSE,,RFA,,,W,6,0,224.3
1.5,Mikko Rantanen W | COL,3sheets,$15,,$15,$9,$14,$6,$12,$6,$12,,$14,$12,$2,$15,$2,,,,,,,,G,,RFA,,,C,2,0,209
1.6,David Pastrnak W | BOS,Basteeerds,$15,,$15,$11,$15,$6,$7,$12,$12,$12,$13,$10,$2,$8,$2,,,,,,,,Pylons,,RFA,,,W,5,0,203
1.7,Lane Hutson D | MON,New Oilers Nation,$13,,$13,$5,$9,$5,$13,$10,,$9,$12,$9,$2,$8,$4,,,,,,,,Cin,,RFA,,,W,16,0,176.9
1.8,Artemi Panarin W | NYR,The Pylons,$11,,$11,$11,$8,$5,$6,$10,$8,$9,$10,$7,$2,$8,$2,,,,,,,,LIP,,RFA,,,G,2,0,163.6
1.9,Andrei Vasilevskiy G | TB,New Oilers Nation,$8,,$8,$3,$4,$2,$7,$4,$8,$5,$5,$6,$2,$3,$2,,,,,,,,Basteeerds,,RFA,,,G,2,0,158.8
1.10,Colton Parayko D | STL,New Oilers Nation,$3,,$3,$0,,$0,-$1,$0,$3,$0,$0,$2,$2,$0,$0,,,,,,,,SoCal,,RFA,,,W,3,0,157.4
1.11,Adam Fox D | NYR,South Calgary Oilers,$13,,$13,$9,$11,$5,$13,$6,$8,$8,$13,$9,$2,$6,$2,,,,,,,,Dook,,RFA,,,W,0,0,155.3
1.12,Jesper Bratt W | NJ,LIP's Lasers,$11,,$11,$9,$11,$5,$11,$4,$0,$0,$10,$8,$2,$5,$2,,,,,,,,NON,,RFA,,,D,11,0,150.9
2.1,Dylan Larkin C | DET,Basteeerds,$7,,$7,$0,$7,$5,costco,$5,$6,$4,$4,$4,$2,$4,$2,,,,,,,,Shax,,RFA,,,F,2,0,149.1
2.2,Seth Jones D | CHI,The Dook of Sook,$3,,$3,$0,$3,$3,$3,$0,$0,$2,$0,$0,$2,$0,$2,,,,,,,,,,RFA,,,F,2,0,147.6
2.3,Alex DeBrincat W | DET,The Dook of Sook,$6,,$6,$2,$4,$6,Machine learning,$4,$5,$2,$5,$0,$2,$0,$2,,,,,,,,,,RFA,,,F,4,0,144.6
2.4,Sidney Crosby C | PIT,G' Stars,$9,,$9,$7,$6,$2,$2,$6,$6,$3,$9,$6,$2,$7,$2,,,,,,,,,,RFA,,,F,2,0,142.1
2.5,Mark Scheifele C | WPG,LIP's Lasers,$9,,$9,$5,$8,$2,$4,$6,$5,$9,$3,$4,$2,$4,$2,,,,,,,,,,RFA,,,G,3,0,141.2
2.6,Roman Josi D | NSH,3sSE,$7,,$7,-$1,$6,$2,4 or 5 if i lose...but mostly 4,$4,$4,$4,$4,$4,$2,$7,$2,,,,,,,,,,RFA,,,F,7,0,139
2.7,Tage Thompson C | BUF,South Calgary Oilers,$9,,$9,$5,$7,$2,$9,$6,$6,$5,$6,$7,$2,$5,$2,,,,,,,,,,RFA,,,G,2,0,132.8
2.8,Jake Guentzel W | TB,Doomsday Machine,$10,,$10,$7,$7,$2,$4,$6,$6,$5,$9,$10,$2,$0,$2,,,,,,,,,,RFA,,,C,4,0,122.9
2.9,Frederik Andersen G | CAR,South Calgary Oilers,$5,,$5,$0,$2,$0,$5,$2,$4,$0,$0,$2,$2,$0,$2,,,,,,,,,,RFA,,,W,2,0,117.3
2.10,Charlie McAvoy D | BOS,3sheets,$5,,$5,$3,$3,$2,$0,$2,$4,$2,$0,$0,$2,$5,$2,,,,,,,,,,RFA,,,F,2,0,115.7
2.11,Thomas Chabot D | OTT,G' Stars,$5,,$5,$3,$0,$0,$0,$2,$0,$4,$5,$0,$2,$0,$2,,,,,,,,,,RFA,,,W,0,0,114.4
2.12,Jordan Kyrou W | STL,New Oilers Nation,$5,,$5,$0,$4,$2,$3,$3,$5,$5,,$2,$0,$3,$2,,,,,,,,,,RFA,,,F,2,0,112.2
3.1,pass,Dook,,,$0,$0,,,$0,,,,,,,$0,,,,,,,,,,,RFA,,,F,2,0,110.7
3.2,Sam Bennett C | FLA,SoCal,$5,,$5,$2,$2,$0,$5,$0,$0,$0,,$0,$0,$0,$0,,,,,,,,,,RFA,,,W,2,0,108.7
3.3,Adrian Kempe W | LA,Basteeerds,$7,,$7,$0,$7,$0,$0,$6,$5,$5,,$2,$0,$4,$3,,,,,,,,,,RFA,,,F,2,0,105.8
