Pick,Player,Nominator,Winner,,MAX,Pylons,Basteerds,Dook,Socal,Shaz,NoN,Lips,G' Stars,Dooms,Cin,3sheets,Hawt,,,Post draft work -->,UPDATE,STATUS,BY,,,TIEBREAK,,,,,,,
3.4,Igor Shesterkin G | NYR,New Oilers Nation,$5,,$5,$0,$4,$3,$0,$4,$5,$4,,$2,$2,$3,$3,,,,,,,,,,RFA,,,W,2,0,104.5
3.5,Ilya Sorokin G | NYI,Shazam!!!,$4,,$4,$3,$4,$0,$0,$4,$0,$3,,$2,$2,$0,$2,,,,,,,,,,RFA,,,F,2,0,101.4
3.6,pass,3sSE,,,$0,$0,,,$0,,,,,,,$0,,,,,,,,,,,RFA,,,W,0,0,100.1
3.7,Nikolaj Ehlers W | WPG,Shax,$6,,$6,$0,$4,$2,$0,$6,$0,$4,$3,$2,$0,$0,$2,,,,,,,,,,RFA,,,W,2,0,98.7
3.8,Adin Hill G | LV,G,$4,,$4,$3,$3,$0,$0,$0,$0,$0,$4,$2,$2,$3,$2,,,,,,,,,,RFA,,,D,2,0,98.5
3.9,Filip Gustavsson G | MIN,Basteeerds,$4,,$4,$3,$4,$2,$0,$0,$0,$2,$0,$2,$2,$0,$2,,,,,,,,,,RFA,,,D,2,0,96.2
3.10,Vince Dunn D | SEA,Basteeerds,$4,,$4,$3,$4,$0,$0,$3,$0,$0,$0,$2,$2,$0,$0,,,,,,,,,,RFA,,,F,2,0,95.6
3.11,Mathew Barzal W | NYI,Basteeerds,$4,,$4,$0,$4,$0,$0,$0,$0,$3,$0,$0,$0,$0,$2,,,,,,,,,,RFA,,,F,2,0,92.3
3.12,J.T. Miller C | VAN,Basteeerds,$6,,$6,$3,$6,$2,$3,$4,$0,$3,$5,$2,$0,$0,$0,,,,,,,,,,RFA,,,F,2,0,88.8
4.1,Miro Heiskanen D | DAL,LIP's Lasers,$6,,$6,$0,$5,$0,$4,$3,$0,$6,$5,,$2,$0,$2,,,,,,,,,,RFA,,,F,2,0,88.2
4.2,Noah Dobson D | NYI,New Oilers Nation,$5,,$5,$0,$5,$0,$3,$3,$0,$4,$0,$4,$2,$0,$2,,,,,,,,,,RFA,,,D,2,0,84.3
4.3,Rasmus Dahlin D | BUF,LIP's Lasers,$14,,$14,$7,$7,$0,$6,$8,$0,$14,$7,$6,$2,$0,,,,,,,,,,,RFA,,,F,3,0,82.1
4.4,Moritz Seider D | DET,Shazam!!!,$8,,$8,$2,$7,$0,zero,,$0,$5,$4,$4,$2,$0,$8,,,,,,,,,,RFA,,,W,2,0,80.3
4.5,Owen Power D | BUF,LIP's Lasers,$5,,$5,$0,$4,$0,$0,,$0,$5,$3,$4,$2,$0,$4,,,,,,,,,,RFA,,,D,2,0,77
4.6,pass,3sSE,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,RFA,,,D,3,0,74.6
4.7,Robert Thomas C | STL,Shazam!!!,$7,,$7,$0,$6,$2,$0,$7,$0,$0,$3,$4,,,$0,,,,,,,,,,RFA,,,F,2,0,71.2
4.8,Lucas Raymond W | DET,G,$7,,$7,$0,$7,$2,$0,$6,$6,$5,$7,$4,$0,,$6,,,,,,,,,,RFA,,,D,2,0,69.8
4.9,Jake Oettinger G | DAL,Shazam!!!,$5,,$5,$5,$3,$2,$0,,$0,$4,$2,$4,$3,$3,$2,,,,,,,,,,RFA,,,F,2,0,69.5
4.10,pass,Cin,,,$0,$0,,,$0,,,,,,,",",,,,,,,,,,,RFA,,,G,2,0,62.2
4.11,Alexei Protas C | WAS,G' Stars,$5,,$5,$0,,$2,$2,,$0,$4,$5,$2,$3,,$0,,,,,,,,,,RFA,,,D,3,0,61.4
4.12,Dustin Wolf G | CGY,The Dook of Sook,$4,,$4,$0,$3,,$1,,$0,$3,$2,$2,,,$4,,,,,,,,,,RFA,,,W,4,0,60.3
5.1,pass,Dook,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,RFA,,,D,2,0,56.1
5.2,Jackson LaCombe D | ANA,G' Stars,$6,,$6,$0,,$0,$6,,$0,$0,,$4,,,$5,,,,,,,,,,RFA,,,D,0,0,44.2
5.3,pass,NON,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,RFA,,,D,3,0,38.5
5.6,pass,Hawt,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,RFA,,,D,2,0,32.4
5.10,Kirill Marchenko W | CLB,New Oilers Nation,$5,,$5,$1,$3,$2,$0,no poach,$5,$4,,$4,$2,,$3,,,,,,,,,,RFA,,,D,2,0,23.2
5.11,pass,3sSE,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,RFA,,,G,3,0,0
5.12,Morgan Geekie C | BOS,LIP's Lasers,$4,,$4,$0,,$0,$0,$2,$0,$4,,$2,,,$0,,,,,,,,,,RFA,,,D,2,0,0
6.0,pass,G,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,RFA,,,C,0,0,0
6.1,pass,Pylons,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,,,,,,,
6.2,pass,Cin,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,,,,,,,
6.3,pass,LIP,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,,,,,,,
6.4,Connor McMichael C | WAS,HawtSawwce,$3,,$3,$0,$3,$0,$0,,$0,$0,,$2,$2,$2,,,,,,,,,,,,,,,,,
6.5,,,,,$2,$0,,,$0,,,,,,$2,,,,,,,,,,,,,,,,,,
6.6,,,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,,,,,,,
6.7,,,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,,,,,,,
6.8,,,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,,,,,,,
6.9,Dmitri Voronkov W | CLB,The Pylons,$2,,$2,$2,,$0,$0,,$0,$0,,$0,$2,,,,,,,,,,,,,,,,,,
7.0,,,,,$0,$0,,,$0,,,,,,,,,,,,,,,,,,,,,,,,
7.1,Pavel Dorofeyev W | LV,HawtSawwce,$4,,$4,$3,,,,$2,$0,$2,,,,,$4,,,,,,,,,,,,,,,,
7.2,pass,Basteeerds,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jeremy Swayman G | BOS,HawtSawwce,$4,,$4,,$2,,,$2,$0,$3,,$2,peace out,,$4,,,,,,,,,,,,,,,,
,Lukas Dostal G | ANA,LIP's Lasers,$2,,$2,,,,,,$0,,,$2,,,$0,,,,,,,,,,,,,,,,
,Barrett Hayton C | UTA,The Pylons,$2,,$2,,,,,,,,,$2,,,$0,,,,,,,,,,,,,,,,
,Joseph Woll G | TOR,HawtSawwce,$2,,$0,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,
,Spencer Knight G | FLA,New Oilers Nation,$2,,$2,,,,,,,,,$2,,,$0,,,,,,,,,,,,,,,,
,Fabian Zetterlund W | SJ,HawtSawwce,$3,,$3,,,,,,$0,,,$2,,,$3,,,,,,,,,,,,,,,,
