Player,Pos,Team,Games,Goals,Assists,Points
Phil Kessel,RD,STL,79,11,29,40
Moritz Seider,C,FLA,72,26,31,57
Adrian Kempe,C/RW,DAL,75,26,33,59
Nico Hischier,C,OTT,79,23,40,63
Alex Killorn,C,VAN,78,28,30,58
Zach Hyman,RD,CGY,74,9,32,41
Ryan Johansen,RW,ANA,69,31,26,57
Noah Dobson,RD,PIT,77,11,29,40
Cam Atkinson,LW,LAK,80,30,24,54
Martin Necas,LW/RW,COL,74,25,31,56
Anders Lee,C/RW,SEA,74,24,36,60
Anthony Beauvillier,RD,NJD,68,9,33,42
Yanni Gourde,LW,DET,72,31,24,55
Pavel Zacha,LW/RW,BUF,77,28,30,58
Jake Debrusk,C,PHI,55,20,24,44
Jonathan Toews,LW,LAK,80,20,36,56
Thomas Chabot,RD,DET,80,6,37,43
John Klingberg,LD,CAR,79,5,37,42
Joel Eriksson Ek,LD,PHI,81,11,29,40
Ondrej Palat,LD,COL,74,6,36,42
Logan Couture,RW,VAN,72,25,30,55
Brandon Hagel,LD,WAS,78,12,24,36
Dylan Strome,LW,SEA,76,24,32,56
Damon Severson,C/LW,EDM,73,20,35,55
Victor Olofsson,C,SEA,80,24,32,56
Dominik Kubalik,RD,BOS,50,5,35,40
Drew Doughty,LD,ANA,76,8,32,40
Rickard Rakell,LW,BOS,79,20,36,56
Connor Brown,RW,PHI,73,24,29,53
Noah Hanifin,RW,LAK,72,21,36,57
Alex Tuch,C/RW,DET,76,20,36,56
Brent Burns,LD,MON,74,10,29,39
Max Domi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jesse Puljujarvi,LW,EDM,70,26,27,53
Evan Bouchard,C,ANA,79,20,37,57
Phillip Danault,C,NSH,77,13,47,60
Yegor Sharangovich,C,NJD,64,23,31,54
Dawson Mercer,RD,CBJ,64,9,29,38
Jakob Chychrun,RD,STL,73,7,31,38
Gustav Nyquist,LD,SEA,75,7,33,40
Jamie Benn,LW/RW,BOS,76,26,25,51
Kailer Yamamoto,C,BOS,72,19,37,56
Nino Niederreiter,C,SEA,79,21,31,52
Philip Tomasino,LW/RW,PHI,78,22,33,55
Josh Bailey,C,MIN,78,23,27,50
Torey Krug,LD,CAR,80,8,28,36
Darnell Nurse,LW,NYI,72,27,25,52
Tyson Barrie,RD,MIN,72,9,26,35
Mikhail Sergachev,LW,VAN,64,22,22,44
Ilya Mikheyev,C,BOS,74,20,31,51
Conor Sheary,C,NSH,78,18,35,53
Seth Jones,C,SJS,75,22,28,50
Shayne Gostisbehere,LD,NSH,77,8,27,35
Dylan Cozens,C,CHI,72,20,31,51
Cole Sillinger,LW/RW,TBL,76,21,29,50
Alex Newhook,RD,NYR,76,9,26,35
Gustav Forsling,RD,ANA,81,5,33,38
Christian Dvorak,RD,WPG,81,4,34,38
James van Riemsdyk,RW,PIT,75,23,26,49
Brandon Saad,LW,DET,80,24,25,49
Ivan Barbashev,RW,CAR,78,18,34,52
Alexander Kerfoot,C,LAK,80,23,25,48
William Karlsson,RD,FLA,74,10,23,33
Sean Couturier,LD,COL,60,10,23,33
Adam Henrique,LW,CBJ,80,11,45,56
Charlie Coyle,LW,BUF,74,25,24,49
Rasmus Andersson,C,WAS,70,21,29,50
Jonathan Drouin,LW,NYI,75,18,34,52
Mike Hoffman,LW,NJD,77,23,25,48
Alexis Lafreniere,RD,NYI,73,7,28,35
Kevin Hayes,LD,MIN,78,6,29,35
Erik Karlsson,RW,EDM,80,21,26,47
Reilly Smith,LW,STL,73,22,23,45
Josh Morrissey,LW,NJD,78,17,33,50
Frank Vatrano,RW,EDM,73,17,31,48
Casey Mittelstadt,LW,VGK,73,23,21,44
Filip Hronek,LD,PHI,81,8,25,33
Marco Rossi,LW/RW,NSH,79,22,25,47
Tanner Jeannot,RW,NJD,81,20,28,48
Kasperi Kapanen,RD,PHI,15,2,7,9
Jordan Eberle,LD,BUF,77,5,30,35
T.J. Oshie,LD,TOR,76,8,24,32
Mikael Backlund,C,DAL,80,18,29,47
Samuel Girard,C/RW,ANA,71,25,19,44
Marcus Foligno,RW,WAS,76,14,35,49
Jared Spurgeon,RD,NSH,76,4,29,33
Dougie Hamilton,RW,BUF,65,16,32,48
Nicolas Roy,C,VGK,75,15,30,45
Alex Pietrangelo,C,PHI,70,19,25,44
Jaccob Slavin,LW,CBJ,78,16,31,47
Mackenzie Weegar,C/LW,STL,75,17,28,45
Artturi Lehkonen,LW,PHI,81,23,22,45
Mason Marchment,LW/RW,NYR,80,20,24,44
Jean-Gabriel Pageau,RW,NYI,78,16,31,47
Jeff Carter,RW,NSH,77,16,31,47
Jaden Schwartz,LW,ANA,78,22,21,43
Anthony Mantha,C/RW,COL,73,17,28,45
Paul Stastny,RW,CHI,78,15,33,48
Cam Fowler,LW,WAS,75,17,29,46
Lawson Crouse,RW,VGK,82,12,43,55
Craig Smith,RW,NSH,81,20,23,43
Charlie McAvoy,LW,COL,76,20,21,41
Peyton Krebs,LD,VGK,68,8,22,30
Jesperi Kotkaniemi,C,CBJ,79,21,24,45
Ivan Provorov,C,NYI,79,21,20,41
Jeff Petry,LD,NJD,79,6,26,32
Vince Dunn,C,CGY,80,15,27,42
Kevin Labanc,LD,CBJ,72,8,22,30
Justin Faulk,RD,SEA,68,4,30,34
Cole Perfetti,C,BUF,78,20,25,45
Evan Rodrigues,LD,TOR,68,7,23,30
Mason McTavish,LW,MON,76,20,24,44
Boone Jenner,RW,WAS,68,20,23,43
Jordan Greenway,C,MIN,77,15,28,43
