PLAYER,POS,TEAM,GP,G,A,Points
Justin Dowling,C,VAN,60,4,7,11
Tucker Poolman,D,VAN,68,2,9,11
Ben Hutton,D,VGK,53,2,9,11
Jansen Harkins,W,WPG,67,5,6,11
Connor Clifton,D,BOS,68,3,7,10
Yegor Chinakhov,W,CBJ,45,4,6,10
Nils Lundkvist,D,DAL,46,4,6,10
Grigori Denisenko,W,FLA,30,3,7,10
John Leonard,W,NSH,40,2,8,10
Jeremy Lauzon,D,NSH,66,2,8,10
Matt Martin,W,NYI,76,5,5,10
William Borgen,D,SEA,50,2,8,10
Robert Bortuzzo,D,STL,72,2,8,10
Rasmus Sandin,D,TOR,30,3,7,10
Phillip Di Giuseppe,W,VAN,51,3,7,10
Andrew Ladd,W,ARI,52,4,5,9
Conor Timmins,D,ARI,49,3,6,9
Jack Studnicka,W,BOS,40,1,8,9
Adam Ruzicka,C,CGY,30,4,5,9
Boris Katchouk,W,CHI,50,4,5,9
Dylan Sikura,W,CHI,36,1,8,9
Gavin Bayreuther,D,CBJ,35,2,7,9
Marian Studenic,W,DAL,60,4,5,9
Joel Hanley,D,DAL,40,1,8,9
Libor Hajek,D,NYR,56,2,7,9
Ty Smith,D,PIT,18,1,8,9
Glenn Gawdin,C,ANA,32,3,5,8
Reese Johnson,W,CHI,40,1,7,8
Dylan Holloway,C,EDM,35,3,5,8
Brad Malone,C,EDM,20,3,5,8
Chris Tierney,C,FLA,29,2,6,8
Markus Nurmi,W,NSH,37,3,5,8
Simon Nemec,D,NJD,38,3,5,8
Ville Heinola,D,WPG,17,1,7,8
Mike Hardman,W,CHI,30,1,6,7
Rudolfs Balcers,W,FLA,25,3,4,7
Andrej Sustr,D,MIN,34,1,6,7
Vitali Kravtsov,W,NYR,18,3,4,7
Josh Archibald,W,PIT,20,3,4,7
Alex Nylander,W,PIT,20,3,4,7
Marco Scandella,D,STL,32,2,5,7
Zach Bogosian,D,TB,40,2,5,7
Dylan Samberg,D,WPG,17,2,5,7
Oskar Steen,C,BOS,20,2,4,6
Jakub Zboril,D,BOS,23,2,4,6
Jacob Bryson,D,BUF,63,1,5,6
Lawrence Pilut,D,BUF,45,2,4,6
Connor Zary,C,CGY,30,2,4,6
Lane Pederson,C,CAR,50,1,5,6
Nick Blankenburg,D,CBJ,35,2,4,6
Nic Petan,C,MIN,48,2,4,6
Kaiden Guhle,D,MTL,34,2,4,6
Mark Borowiecki,D,NSH,30,1,5,6
Nolan Foote,W,NJD,24,4,2,6
Drew O'Connor,W,PIT,26,3,3,6
Drake Caggiula,W,PIT,20,3,3,6
Radim Zohorna,W,PIT,20,2,4,6
Nikolai Knyzhov,D,SJ,36,1,5,6
Jaycob Megna,D,SJ,36,1,5,6
Shane Wright,C,SEA,9,2,4,6
Kole Lind,W,SEA,22,1,5,6
Gemel Smith,C,TB,29,2,4,6
Kyle Clifford,W,TOR,30,2,4,6
Gabriel Carlsson,D,WAS,17,1,5,6
Kristian Reichel,W,WPG,45,3,3,6
Jacob Perreault,W,ANA,20,2,3,5
Benoit-Olivier Groulx,C,ANA,20,2,3,5
Josh Mahura,D,ANA,20,2,3,5
Chris Wagner,W,BOS,30,3,2,5
Casey Fitzgerald,D,BUF,25,2,3,5
Lukas Sedlak,W,COL,26,2,3,5
Jayson Megna,W,COL,35,2,3,5
Anthony Bitetto,D,FLA,21,-,5,5
Tobias Bjornfot,D,LAK,30,-,5,5
Connor Dewar,W,MIN,30,2,3,5
Michael Pezzetta,W,MTL,16,2,3,5
Jacob Bernard-Docker,D,OTT,33,2,3,5
Ronnie Attard,D,PHI,25,2,3,5
Pierre-Olivier Joseph,D,PIT,18,1,4,5
Jonah Gadjovich,W,SJ,50,2,3,5
Conor Geekie,C,ARI,33,1,3,4
Cam Dineen,D,ARI,15,1,3,4
Juuso Valimaki,D,CGY,17,1,3,4
Jake Gardiner,D,CAR,0,1,3,4
William Lagesson,D,CAR,38,1,3,4
Mikhail Maltsev,W,COL,28,2,2,4
Brad Hunt,D,COL,10,1,3,4
Thomas Harley,D,DAL,40,1,3,4
Givani Smith,W,DET,19,2,2,4
Joe Veleno,C,DET,20,2,2,4
Mark Pysyk,D,DET,15,1,3,4
Simon Edvinsson,D,DET,15,1,3,4
Greg McKegg,C,EDM,20,2,2,4
Juraj Slafkovsky,W,MTL,26,1,3,4
Dennis Cholowski,D,NYI,23,1,3,4
Mark Friedman,D,PIT,13,1,3,4
Alexey Toropchenko,C,STL,57,5,-1,4
David Gustafsson,C,WPG,45,1,3,4
Colton White,D,ANA,20,1,2,3
John Moore,D,ANA,19,1,2,3
Josh Brown,D,ARI,15,1,2,3
Clark Bishop,C,CGY,11,-,3,3
Connor Mackey,D,CGY,10,1,2,3
Ryan Suzuki,C,CAR,10,1,2,3
Jake Walman,D,DET,15,1,2,3
Haydn Fleury,D,TB,13,1,2,3
Rodion Amirov,W,TOR,15,1,2,3
Matt Irwin,D,WAS,20,1,2,3
Alex Vlasic,D,CHI,21,1,1,2
Mathieu Olivier,W,CBJ,8,-,2,2
Carson Meyer,W,CBJ,8,1,1,2
Lias Andersson,C,LAK,7,-,2,2
Kevin Gravel,D,NSH,12,-,2,2
Richard Panik,W,NYI,7,1,1,2
Ross Johnston,W,NYI,10,1,1,2
Cale Fleury,D,SEA,58,1,1,2
Victor Mete,D,TOR,10,-,2,2
Tyler Benson,W,EDM,10,-,1,1
John Gibson,G,ANA,55,,,
Anthony Stolarz,G,ANA,27,,,
Karel Vejmelka,G,ARI,55,,,
John Gillies,G,ARI,27,,,
Linus Ullmark,G,BOS,40,,,
Jeremy Swayman,G,BOS,42,,,
Craig Anderson,G,BUF,45,,,
Eric Comrie,G,BUF,10,,,
Malcolm Subban,G,BUF,27,,,
Frederik Andersen,G,CAR,55,,,
Antti Raanta,G,CAR,27,,,
Jacob Markstrom,G,CGY,60,,,
Dan Vladar,G,CGY,22,,,
Petr Mrazek,G,CHI,42,,,
Alex Stalock,G,CHI,40,,,
Alexandar Georgiev,G,COL,48,,,
Pavel Francouz,G,COL,34,,,
Elvis Merzlikins,G,CBJ,60,,,
Joonas Korpisalo,G,CBJ,22,,,
Scott Wedgewood,G,DAL,27,,,
Jake Oettinger,G,DAL,55,,,
Ville Husso,G,DET,42,,,
Alex Nedeljkovic,G,DET,40,,,
Jack Campbell,G,EDM,57,,,
Stuart Skinner,G,EDM,25,,,
Spencer Knight,G,FLA,35,,,
Sergei Bobrovsky,G,FLA,47,,,
Cal Petersen,G,LAK,42,,,
Jonathan Quick,G,LAK,40,,,
Marc-Andre Fleury,G,MIN,55,,,
Filip Gustavsson,G,MIN,27,,,
Jake Allen,G,MTL,50,,,
Cayden Primeau,G,MTL,32,,,
Juuse Saros,G,NSH,65,,,
Kevin Lankinen,G,NSH,17,,,
Mackenzie Blackwood,G,NJD,42,,,
Vitek Vanecek,G,NJD,40,,,
Semyon Varlamov,G,NYI,30,,,
Ilya Sorokin,G,NYI,52,,,
Igor Shesterkin,G,NYR,60,,,
Jaroslav Halak,G,NYR,22,,,
Cam Talbot,G,OTT,45,,,
Anton Forsberg,G,OTT,37,,,
Carter Hart,G,PHI,55,,,
Felix Sandstrom,G,PHI,27,,,
Casey DeSmith,G,PIT,27,,,
Tristan Jarry,G,PIT,55,,,
James Reimer,G,SJ,46,,,
Kaapo Kahkonen,G,SJ,36,,,
Chris Driedger,G,SEA,20,,,
Martin Jones,G,SEA,15,,,
Philipp Grubauer,G,SEA,47,,,
Jordan Binnington,G,STL,50,,,
Thomas Greiss,G,STL,32,,,
Andrei Vasilevskiy,G,TB,60,,,
Brian Elliott,G,TB,22,,,
Matt Murray,G,TOR,38,,,
Ilya Samsonov,G,TOR,44,,,
Thatcher Demko,G,VAN,60,,,
Martin Spencer,G,VAN,22,,,
Robin Lehner,G,VGK,0,,,
Logan Thompson,G,VGK,30,,,
Adin Hill,G,VGK,20,,,
Laurent Brossoit,G,VGK,32,,,
Darcy Kuemper,G,WAS,58,,,
Charlie Lindgren,G,WAS,24,,,
Connor Hellebuyck,G,WPG,60,,,
David Rittich,G,WPG,22,,,
