PLAYER,POS,TEAM,GP,G,A,Points
Kevin Hayes,C,PHI,75,20,29,49
Jordan Eberle,W,SEA,79,22,27,49
William Karlsson,C,VGK,78,20,29,49
Andrew Mangiapane,W,CGY,82,28,20,48
Mackenzie Weegar,D,CGY,76,10,38,48
Dougie Hamilton,D,NJD,73,15,33,48
Valeri Nichushkin,W,COL,77,18,29,47
Drew Doughty,D,LAK,73,10,37,47
Adam Henrique,C,ANA,75,24,22,46
John Klingberg,D,ANA,77,9,37,46
Victor Olofsson,W,BUF,77,19,27,46
Zach Werenski,D,CBJ,74,14,32,46
Jamie Benn,W,DAL,81,20,26,46
Neal Pionk,D,WPG,81,6,40,46
Anthony Duclair,W,FLA,57,21,24,45
Vincent Trocheck,C,NYR,78,17,28,45
Claude Giroux,C,OTT,80,16,29,45
Tim Stutzle,C,OTT,67,17,28,45
Yanni Gourde,C,SEA,80,20,25,45
Alex Tuch,W,BUF,70,18,26,44
Jonathan Toews,C,CHI,69,18,26,44
Tyler Seguin,C,DAL,71,19,25,44
Mason marchment,W,DAL,65,16,28,44
Carter Verhaeghe,W,FLA,75,21,23,44
Marcus Foligno,W,MIN,75,18,26,44
Damon Severson,D,NJD,81,10,34,44
Anders Lee,W,NYI,75,22,22,44
Mathieu Joseph,C,OTT,73,23,21,44
James van Riemsdyk,W,PHI,81,22,22,44
Anthony Cirelli,C,TB,79,17,27,44
Lawson Crouse,W,ARI,77,19,24,43
Alex Newhook,C,COL,74,16,27,43
Viktor Arvidsson,W,LAK,75,22,21,43
Christian Dvorak,C,MTL,77,18,25,43
Cole Caufield,W,MTL,70,24,19,43
Nino Niederreiter,W,NSH,80,21,22,43
Jaden Schwartz,W,SEA,70,16,27,43
Jake DeBrusk,W,BOS,77,21,21,42
Pavel Zacha,W,BOS,77,16,26,42
Mikael Backlund,C,CGY,82,16,26,42
Frederick Gaudreau,C,MIN,75,14,28,42
Jared Spurgeon,D,MIN,77,12,30,42
Alexander Barabanov,W,SJ,70,12,30,42
Alexander Kerfoot,C,TOR,71,16,26,42
Charlie Coyle,C,BOS,81,15,26,41
Miro Heiskanen,D,DAL,79,10,31,41
Phillip Danault,C,LAK,81,14,27,41
Alex Iafallo,W,LAK,81,17,24,41
Sean Couturier,C,PHI,57,16,25,41
Luke Kunin,W,SJ,77,20,21,41
Ivan Barbashev,C,STL,78,18,23,41
Mikhail Sergachev,D,TB,81,8,33,41
Alex Pietrangelo,D,VGK,79,10,31,41
Dylan Strome,C,WAS,74,16,25,41
Rasmus Andersson,D,CGY,82,5,35,40
Sean Kuraly,C,CBJ,79,15,25,40
Ryan Suter,D,DAL,82,6,34,40
Jonas Brodin,D,MIN,79,9,31,40
Tomas Tatar,W,NJD,79,19,21,40
Anthony Beauvillier,W,NYI,78,20,20,40
Drake Batherson,W,OTT,66,18,22,40
Ilya Mikheyev,W,VAN,70,17,23,40
Cam Fowler,D,ANA,79,8,31,39
Jakob Chychrun,D,ARI,74,15,24,39
Seth Jarvis,W,CAR,54,16,23,39
Gustav Nyquist,W,CBJ,71,16,23,39
Darnell Nurse,D,EDM,80,10,29,39
Evan Bouchard,D,EDM,75,12,27,39
Sam Bennett,C,FLA,75,19,20,39
Evgenii Dadonov,W,MTL,81,17,22,39
Chris Wideman,D,MTL,70,10,29,39
Tanner Jeannot,W,NSH,78,22,17,39
Noah Dobson,D,NYI,73,9,30,39
Thomas Chabot,D,OTT,76,9,30,39
Erik Karlsson,D,SJ,72,9,30,39
Brandon Hagel,W,TB,67,20,19,39
Tanner Pearson,W,VAN,78,19,20,39
Josh Morrissey,D,WPG,80,10,29,39
Frank Vatrano,W,ANA,80,22,16,38
Jaccob Slavin,D,CAR,80,7,31,38
Tyson Barrie,D,EDM,80,8,30,38
Jordan Greenway,W,MIN,77,12,26,38
Dawson Mercer,C,NJD,78,15,23,38
Kyle Palmieri,W,NYI,77,18,20,38
Alexis Lafreniere,W,NYR,78,23,15,38
Vince Dunn,D,SEA,78,11,27,38
Brandon Saad,W,STL,76,18,20,38
Justin Faulk,D,STL,81,12,26,38
Charlie McAvoy,D,BOS,60,7,30,37
Blake Coleman,W,CGY,81,18,19,37
Artturi Lehkonen,W,COL,79,17,20,37
Denis Gurianov,W,DAL,79,17,20,37
Ivan Provorov,D,PHI,81,11,26,37
Connor Brown,W,WAS,79,15,22,37
Noah Hanifin,D,CGY,80,7,29,36
Tyler Johnson,W,CHI,70,15,21,36
Kailer Yamamoto,W,EDM,73,16,20,36
Patric Hornqvist,W,FLA,73,16,20,36
Jason Zucker,W,PIT,68,19,17,36
Rickard Rakell,W,PIT,78,17,19,36
Jeff Petry,D,PIT,79,10,26,36
Nick Bonino,C,SJ,81,16,20,36
Anthony Mantha,W,WAS,68,15,21,36
Kevin Shattenkirk,D,ANA,82,7,28,35
Shayne Gostisbehere,D,ARI,74,10,25,35
Paul Stastny,W,CAR,80,13,22,35
Boone Jenner,C,CBJ,75,15,20,35
Brendan Gallagher,W,MTL,71,18,17,35
Mike Matheson,D,MTL,76,11,24,35
Yegor Sharangovich,W,NJD,67,17,18,35
Kasperi Kapanen,W,PIT,78,13,22,35
Jeff Carter,C,PIT,78,17,18,35
Erik Haula,C,NJD,76,16,18,34
Scott Laughton,C,PHI,74,14,20,34
Matthew Beniers,C,SEA,65,11,23,34
Nate Schmidt,D,WPG,78,6,28,34
Andreas Athanasiou,W,CHI,67,18,15,33
Colin Blackwell,C,CHI,67,14,19,33
Filip Hronek,D,DET,80,6,27,33
Gustav Forsling,D,FLA,72,9,24,33
Mattias Ekholm,D,NSH,79,8,25,33
Cole Perfetti,C,WPG,70,11,22,33
Max Comtois,W,ANA,68,14,18,32
Hampus Lindholm,D,BOS,69,7,25,32
Dylan Cozens,C,BUF,70,10,22,32
Casey Mittelstadt,C,BUF,70,13,19,32
Kyle Okposo,W,BUF,73,12,20,32
Robby Fabbri,W,DET,65,15,17,32
Jonathan Drouin,W,MTL,62,9,23,32
Eeli Tolvanen,W,NSH,75,16,16,32
Ryan Graves,D,NJD,80,8,24,32
Alex Wennberg,C,SEA,79,8,24,32
Nicolas Roy,C,VGK,77,14,18,32
Craig Smith,W,BOS,80,15,16,31
Max Pacioretty,W,CAR,37,15,16,31
Jesse Puljujarvi,W,EDM,65,15,16,31
Brandon Montour,D,FLA,77,8,23,31
Ryan Pulock,D,NYI,76,7,24,31
Calle Jarnkrok,W,TOR,76,13,18,31
Oliver Ekman-Larsson,D,VAN,79,9,22,31
Tom Wilson,W,WAS,54,13,18,31
Travis Boyd,C,ARI,68,12,18,30
Henri Jokiharju,D,BUF,75,5,25,30
Jesper Fast,W,CAR,80,11,19,30
Brady Skjei,D,CAR,81,7,23,30
Kirby Dach,C,MTL,71,11,19,30
Pierre Engvall,W,TOR,74,15,15,30
Mark Giordano,D,TOR,79,8,22,30
Conor Sheary,W,WAS,78,15,15,30
Jamie Drysdale,D,ANA,75,8,21,29
David Krejci,C,BOS,70,9,20,29
Peyton Krebs,C,BUF,70,13,16,29
Adam Boqvist,D,CBJ,66,10,19,29
Matt Dumba,D,MIN,76,9,20,29
Barclay Goodrow,W,NYR,81,10,19,29
Kevin Labanc,W,SJ,70,11,18,29
Brandon Tanev,W,SEA,67,13,16,29
Justin Schultz,D,SEA,74,7,22,29
Timothy Liljegren,D,TOR,65,8,21,29
Nicklas Backstrom,C,WAS,43,8,21,29
Dillon Dube,W,CGY,75,12,16,28
Lukas Reichel,C,CHI,65,9,19,28
J.T. Compher,W,COL,77,14,14,28
Evan Rodrigues,C,COL,73,10,18,28
Samuel Girard,D,COL,77,7,21,28
Josh Manson,D,COL,69,8,20,28
Pius Suter,C,DET,68,13,15,28
Trevor Moore,W,LAK,76,10,18,28
Josh Anderson,W,MTL,70,16,12,28
Filip Chytil,C,NYR,74,13,15,28
Kaapo Kakko,W,NYR,72,13,15,28
Jacob Trouba,D,NYR,78,7,21,28
Colton Parayko,D,STL,76,6,22,28
Nick Paul,C,TB,79,13,15,28
Vladislav Namestnikov,W,TB,79,12,16,28
Corey Perry,W,TB,78,12,16,28
Derek Grant,C,ANA,75,11,16,27
Mason McTavish,C,ANA,75,9,18,27
Jesperi Kotkaniemi,C,CAR,72,10,17,27
Cole Sillinger,C,CBJ,65,14,13,27
Vladislav Gavrikov,D,CBJ,81,5,22,27
Alexandre Carrier,D,NSH,75,4,23,27
Zach Parise,W,NYI,80,12,15,27
Alex Formenton,W,OTT,65,14,13,27
Rasmus Ristolainen,D,PHI,77,6,21,27
Oskar Lindblom,W,SJ,72,13,14,27
Nick Leddy,D,STL,79,5,22,27
Jake Muzzin,D,TOR,71,6,21,27
Justin Holl,D,TOR,79,4,23,27
Alec Martinez,D,VGK,67,8,19,27
Dmitry Orlov,D,WAS,80,7,20,27
Jack McBain,C,ARI,70,15,11,26
Nathan Smith,C,ARI,70,12,14,26
Barrett Hayton,C,ARI,60,11,15,26
Brett Pesce,D,CAR,78,5,21,26
Andreas Johnsson,W,NJD,73,10,16,26
Oliver Wahlstrom,W,NYI,75,15,11,26
Travis Sanheim,D,PHI,81,6,20,26
Teddy Blueger,C,PIT,76,10,16,26
Joonas Donskoi,W,SEA,79,11,15,26
Carson Soucy,D,SEA,74,9,17,26
Lars Eller,C,WAS,77,11,15,26
Jakob Silfverberg,W,ANA,74,11,14,25
Christopher Tanev,D,CGY,82,5,20,25
Eric Robinson,W,CBJ,75,11,14,25
Warren Foegele,W,EDM,81,12,13,25
Owen Tippett,W,PHI,65,11,14,25
Ryan Donato,W,SEA,78,12,13,25
Ross Colton,W,TB,62,16,9,25
TJ Brodie,D,TOR,81,4,21,25
William Carrier,W,VGK,78,12,13,25
Isac Lundestrom,C,ANA,75,12,12,24
Nick Ritchie,W,ARI,73,11,13,24
Owen Power,D,BUF,65,7,17,24
Jordan Staal,C,CAR,80,9,15,24
Cody Ceci,D,EDM,78,6,18,24
Arthur Kaliyev,W,LAK,65,10,14,24
Alexander Edler,D,LAK,71,5,19,24
Joel Armia,W,MTL,72,12,12,24
Philip Tomasino,W,NSH,75,8,16,24
John Marino,D,NJD,78,4,20,24
Sammy Blais,W,NYR,59,10,14,24
Parker Kelly,C,OTT,65,15,9,24
Shane Pinto,C,OTT,65,4,20,24
Brock McGinn,W,PIT,74,11,13,24
Marcus Pettersson,D,PIT,78,3,21,24
Andrei Kuzmenko,W,VAN,65,8,16,24
Mason Appleton,W,WPG,75,10,14,24
Matt Grzelcyk,D,BOS,66,5,18,23
Sam Lafferty,C,CHI,69,8,15,23
Logan O'Connor,W,COL,75,10,13,23
Bowen Byram,D,COL,51,6,17,23
Kent Johnson,C,CBJ,65,8,15,23
Jake Bean,D,CBJ,62,5,18,23
Nick Cousins,W,FLA,77,9,14,23
Alex Goligoski,D,MIN,80,4,19,23
Colton Sissons,W,NSH,78,11,12,23
Zach Sanford,W,NSH,78,11,12,23
Ryan Lindgren,D,NYR,78,3,20,23
Morgan Frost,C,PHI,70,6,17,23
Ian Cole,D,TB,79,4,19,23
Adam Gaudette,C,TOR,65,8,15,23
Marcus Johansson,C,WAS,74,8,15,23
Erik Gustafsson,D,WAS,71,5,18,23
Vinnie Hinostroza,W,BUF,72,8,14,22
Oliver Kylington,D,CGY,66,6,16,22
Kirill Marchenko,W,CBJ,65,8,14,22
Radek Faksa,C,DAL,80,10,12,22
Esa Lindell,D,DAL,81,6,16,22
Oskar Sundqvist,C,DET,69,9,13,22
Ryan McLeod,C,EDM,72,9,13,22
Quinton Byfield,C,LAK,65,10,12,22
Adam Pelech,D,NYI,75,5,17,22
Danton Heinen,W,PIT,78,9,13,22
David Kampf,C,TOR,82,7,15,22
Adam Lowry,C,WPG,76,10,12,22
Brenden Dillon,D,WPG,81,3,19,22
Zack Kassian,W,ARI,69,9,12,21
Tomas Nosek,C,BOS,76,9,12,21
Derek Ryan,C,EDM,78,7,14,21
Sean Durzi,D,LAK,65,2,19,21
Jake Evans,C,MTL,67,9,12,21
Joel Edmundson,D,MTL,70,5,16,21
