NAME,POS,GP,G,A,PTS
Seth Jones,D,80,8,40,48
Martin Necas,RW,80,18,30,48
Phillip Danault,C,81,18,30,48
Victor Olofsson,RW,78,20,28,48
Jordan Eberle,RW,80,22,26,48
Evan Bouchard,D,78,14,33,48
Drew Doughty,D,74,11,37,48
Josh Bailey,LW/RW,80,15,33,48
Anders Lee,LW,75,26,21,47
Sam Bennett,C,76,23,24,47
Brandon Hagel,LW/RW,80,23,24,47
Andrew Copp,C/RW,79,19,28,47
Boone Jenner,C,75,23,24,46
Joel Farabee,C/LW,72,22,24,46
Jamie Benn,C/LW,81,19,28,46
Reilly Smith,RW,77,21,25,46
Kevin Hayes,C,76,19,27,46
David Krejci,C,75,12,34,46
Mason Marchment,LW/RW,70,17,29,45
Christian Dvorak,C,77,20,25,45
Noah Dobson,D,76,11,34,45
Cole Sillinger,C,81,21,24,45
James van Riemsdyk,LW/RW,82,22,22,45
Jaden Schwartz,LW,71,17,28,45
Adam Henrique,C/LW,76,22,22,44
Jared Spurgeon,D,78,13,31,44
Mike Hoffman,LW/RW,79,21,23,44
Brandon Saad,LW,77,24,20,44
Andreas Athanasiou,LW/RW,69,21,23,44
Josh Morrissey,D,81,11,33,44
Alex Pietrangelo,D,79,13,30,44
Rasmus Andersson,D,82,7,37,44
Mikhail Sergachev,D,81,9,35,44
Marcus Foligno,LW/RW,76,21,22,43
Rickard Rakell,LW/RW,78,18,25,43
Vince Dunn,D,78,12,31,43
Jack Quinn,RW,78,18,25,42
Mikael Backlund,C,82,14,28,42
Alex Newhook,C/LW,77,16,26,42
Jean-Gabriel Pageau,C,80,21,21,42
Gustav Nyquist,LW/RW,79,15,27,41
Artturi Lehkonen,LW/RW,79,20,21,41
Tyson Barrie,D,80,7,34,41
Jesperi Kotkaniemi,C/LW,75,16,25,41
Ivan Barbashev,C/LW,78,18,23,41
Shayne Gostisbehere,D,76,13,28,41
Phil Kessel,RW,82,13,28,41
Alex Kerfoot,LW/RW,81,13,28,41
Alex Iafallo,LW,81,17,23,40
Noah Hanifin,D,80,9,31,40
Charlie McAvoy,D,58,8,32,40
Alex Barabanov,LW/RW,73,13,27,40
Tony DeAngelo,D,69,9,31,40
Cole Perfetti,C/RW,72,15,25,40
Anthony Mantha,LW/RW,71,18,22,40
Owen Power,D,78,13,27,40
Evgeny Dadonov,LW/RW,81,19,20,40
Jakob Chychrun,D,76,15,25,40
Pavel Zacha,C/LW,78,16,23,39
Tomas Tatar,LW/RW,79,16,23,39
Darnell Nurse,D,80,12,27,39
Lawson Crouse,LW/RW,78,19,20,39
Frank Vatrano,LW/RW,80,22,17,39
Anthony Beauvillier,LW/RW,79,18,21,39
Connor Brown,RW,79,16,23,39
Kailer Yamamoto,RW,76,17,22,39
Dylan Cozens,C,76,14,25,39
Neal Pionk,D,81,5,33,38
J.T. Compher,C/RW,78,19,20,38
Paul Stastny,C/LW,80,16,21,38
Mike Matheson,D,77,12,26,38
Dominik Kubalik,LW/RW,81,20,18,38
Jeff Petry,D,79,10,28,38
Kirby Dach,C/RW,72,13,25,38
Tyler Johnson,LW/RW,71,17,21,38
Craig Smith,RW,80,18,20,37
Ross Colton,C/LW,77,22,16,37
Trevor Moore,LW/RW,79,15,22,37
Damon Severson,D,82,9,28,37
Jeff Carter,C,79,18,19,37
Tanner Jeannot,RW,76,21,16,37
Kevin Labanc,LW/RW,71,15,22,37
Justin Faulk,D,81,12,25,37
Blake Coleman,LW/RW,81,19,18,37
Nick Bonino,C/LW,81,18,19,36
Brendan Gallagher,RW,72,18,19,36
Kyle Palmieri,RW,78,18,18,36
Conor Sheary,LW/RW,79,17,19,36
MacKenzie Weegar,D,78,8,29,36
Max Comtois,LW,72,16,20,36
Jaccob Slavin,D,81,6,30,36
Jonathan Drouin,LW,66,10,26,36
Travis Boyd,C/RW,72,16,20,36
Filip Chytil,LW,75,15,21,36
Barrett Hayton,C,72,15,21,36
Filip Hronek,D,81,6,30,36
Mason McTavish,LW,70,16,19,36
Jake Sanderson,D,76,10,26,35
Jordan Staal,C,81,14,21,35
Cam Fowler,D,80,8,27,35
Samuel Girard,D,78,6,29,35
