Player,Pos,Team,Games,Goals,Assists,Points
Travis Dermott,RW,CGY,75,6,9,15
Kyle Capobianco,LW,SJS,65,7,8,15
Parker Kelly,RW,NYR,59,5,10,15
Derek Ryan,LD,DAL,50,2,12,14
Caleb Jones,RD,CHI,62,4,10,14
Will Butcher,RD,OTT,56,5,9,14
Chris Tierney,LD,DET,61,4,10,14
Riley Sheahan,RD,OTT,75,2,12,14
Jaret Anderson-Dolan,LD,NJD,72,2,12,14
Daniil Miromanov,RW,ANA,45,7,7,14
Alexei Protas,RD,WAS,60,1,13,14
Ville Heinola,RD,PIT,61,1,13,14
Dominic Toninato,LD,BOS,68,1,13,14
Brad Hunt,LW,WPG,72,9,5,14
Anthony Duclair,C,UFA,50,7,7,14
Drake Caggiula,RW,NSH,56,8,6,14
Evgeny Svechnikov,RW,STL,54,6,8,14
Jan Jenik,RW,PHI,42,6,8,14
Connor Mackey,RW,COL,52,6,8,14
Jani Hakanpaa,LW,PHI,76,8,6,14
Olli Maatta,RW,TOR,62,5,9,14
Lucas Carlsson,C,OTT,67,5,9,14
Josh Archibald,RW,MON,42,4,10,14
Erik Johnson,LD,COL,58,5,8,13
Bobby Brink,RD,TBL,64,4,9,13
Jake Neighbours,LD,OTT,63,4,9,13
Riley Stillman,LD,WPG,55,3,10,13
Radko Gudas,LD,VAN,69,3,10,13
Pierre-Edouard Bellemare,LD,FLA,39,3,10,13
Ian Cole,LD,FLA,65,3,10,13
Connor Dewar,LD,WAS,44,2,11,13
Andrew Cogliano,LD,SJS,76,3,10,13
Thomas Harley,RD,BUF,56,1,12,13
Morgan Barron,C,COL,72,7,6,13
Matias Maccelli,LW,PIT,45,8,5,13
Troy Stecher,C/RW,NYR,71,6,7,13
Dysin Mayo,LW,MON,47,6,7,13
Brendan Smith,RW,BUF,38,7,6,13
Radim Zohorna,RW,NYI,61,4,9,13
Matt Benning,RW,FLA,18,6,7,13
Nicholas Abruzzese,C/RW,DAL,41,6,7,13
Lukas Sedlak,C,CHI,60,8,5,13
Ryan Murray,C/LW,WPG,57,5,8,13
Connor Clifton,LW,NYR,53,5,8,13
Calvin de Haan,LW,WAS,50,4,9,13
Ryan Reaves,C/LW,WPG,54,3,10,13
Cale Fleury,RW,SJS,38,3,10,13
Sammy Blais,RD,DAL,78,6,6,12
Cam Dineen,LD,NJD,66,5,7,12
Jeremy Lauzon,LD,FLA,52,3,9,12
Steven Lorentz,RD,ARI,64,3,9,12
Wade Allison,LD,EDM,50,2,10,12
Matthew Highmore,RD,ARI,60,3,9,12
Carl Hagelin,LD,DET,70,1,11,12
Casey Fitzgerald,LD,CGY,32,1,11,12
Jujhar Khaira,LD,ANA,54,1,11,12
Darren Helm,LD,DET,62,2,10,12
Gabriel Carlsson,RD,SJS,66,1,11,12
Urho Vaakanainen,RW,PIT,61,6,6,12
Ilya Lyubushkin,LW,COL,54,7,5,12
Kale Clague,C,WPG,34,6,6,12
Joe Veleno,LW,OTT,61,6,6,12
Ben Meyers,C,TOR,38,4,8,12
Markus Nutivaara,C/LW,PIT,34,4,8,12
Tucker Poolman,LW,ARI,41,4,8,12
Ryan Ellis,C,MIN,36,3,9,12
Benoit-Olivier Groulx,C/RW,ARI,37,3,9,12
Nick Foligno,LD,ANA,72,3,8,11
Tyler Motte,LW,OTT,38,5,6,11
Henrik Borgstrom,RD,OTT,43,4,7,11
Jesse Ylonen,LD,BOS,36,4,7,11
Trevor van Riemsdyk,RD,BUF,69,3,8,11
Markus Nurmi,LD,UFA,60,4,7,11
Michael Del Zotto,RD,SEA,58,2,9,11
Cal Clutterbuck,LD,BUF,32,2,9,11
Ryan Carpenter,RD,BOS,57,2,9,11
Jayce Hawryluk,C/LW,EDM,45,5,6,11
Anders Bjork,RW,WAS,33,6,5,11
Jake Leschyshyn,C,DET,40,5,6,11
Patrik Nemeth,C/RW,EDM,32,4,7,11
Mike Hardman,RW,NYR,67,5,6,11
Miles Wood,RW,OTT,31,5,5,10
JJ Peterka,RD,VAN,58,2,8,10
Mason Shaw,LD,SJS,35,2,8,10
Brett Murray,LW,BUF,34,6,4,10
Matt Kiersted,C,COL,36,3,7,10
Sampo Ranta,RW,PHI,71,4,6,10
Simon Edvinsson,C,PHI,38,3,7,10
Kasperi Kapanen,RD,PHI,15,2,7,9
Jack McBain,LD,CHI,38,1,8,9
David Gustafsson,RD,PIT,58,4,5,9
Robert Hagg,RD,PHI,34,3,6,9
Egor Sokolov,LD,SEA,38,2,7,9
Jack Ahcan,LD,FLA,45,2,7,9
Dylan Holloway,LD,WPG,38,1,8,9
Lassi Thomson,LD,SJS,45,1,8,9
Joe Snively,LD,LAK,40,1,8,9
Simon Benoit,LD,ARI,62,2,7,9
Tyler Benson,LW,DET,38,5,4,9
Patrick Brown,C,ANA,34,5,4,9
Dylan Samberg,LW,BUF,32,4,5,9
Kurtis MacDermid,LW,VGK,52,3,6,9
Greg McKegg,C,PHI,45,3,6,9
Isaac Ratcliffe,LW,EDM,36,3,6,9
Brett Ritchie,RW,CHI,40,2,7,9
Nikolai Knyzhov,LW,CHI,42,2,7,9
Mitchell Stephens,LW,CHI,35,2,7,9
Jordie Benn,LD,CHI,30,1,8,9
Devin Shore,LD,COL,56,3,5,8
Zack MacEwen,LD,TBL,55,2,6,8
Jonatan Berggren,LW,STL,38,5,3,8
William Lockwood,LW,PHI,32,4,4,8
Mark Kastelic,C,EDM,46,4,4,8
Lawrence Pilut,C/LW,SJS,23,3,5,8
Joel Hanley,LW,COL,32,3,5,8
Corey Schueneman,RW,VAN,35,2,6,8
Michael Pezzetta,LW/RW,DET,18,1,7,8
Victor Soderstrom,LD,CHI,36,2,6,8
Kris Russell,RW,CGY,46,4,4,8
Kevin Stenlund,LD,ANA,45,1,6,7
Adam Brooks,LD,MON,38,3,4,7
Boris Katchouk,LD,BUF,36,2,5,7
Reese Johnson,LD,TOR,28,1,6,7
Givani Smith,LD,EDM,54,1,6,7
Tobias Bjornfot,LD,ANA,35,1,6,7
Ronnie Attard,LD,SJS,54,2,5,7
Jasper Weatherby,LD,SJS,26,1,6,7
Alexey Toropchenko,LD,DAL,36,1,6,7
John Leonard,LW,STL,20,4,3,7
Matt Martin,C,SEA,17,4,3,7
Drew O'Connor,RW,PIT,18,4,3,7
Alex Nylander,LW,PIT,28,4,3,7
Andrew Poturalski,LW/RW,NSH,25,4,3,7
Kristian Reichel,LW,NYI,69,3,4,7
Ryan Dzingel,LW,VGK,40,2,5,7
Brendan Brisson,C,CAR,43,2,5,7
Alex Vlasic,C/RW,MON,27,1,6,7
Chad Ruhwedel,RD,VGK,39,2,4,6
Michal Kempny,LD,CHI,63,2,4,6
Haydn Fleury,RD,STL,62,1,5,6
Colton White,RD,ARI,18,1,5,6
Riley Damiani,C,VGK,16,4,2,6
Robert Bortuzzo,LW/RW,CAR,28,4,2,6
Pavel Dorofeyev,RW,VGK,19,3,3,6
Jack Johnson,RW,MON,25,3,3,6
Liam O'Brien,RW,WPG,42,2,4,6
Matthew Phillips,C,DAL,17,2,4,6
Marian Studenic,LW,CAR,35,2,4,6
Fabian Lysell,LD,SJS,32,1,5,6
Lane Pederson,LD,MON,17,2,3,5
Radim Simek,LD,TOR,35,1,4,5
Nathan Walker,RD,TBL,24,1,4,5
Victor Mete,RD,TBL,32,1,4,5
Jonas Rondbjerg,RD,PIT,24,1,4,5
Mackenzie MacEachern,LD,ARI,32,1,4,5
Kaedan Korczak,LD,OTT,24,0,5,5
John Hayden,RD,ARI,40,0,5,5
Adam Beckman,RW,DAL,20,3,2,5
Kaiden Guhle,RW,CGY,15,3,2,5
Nolan Foote,LW/RW,SEA,33,2,3,5
Jacob Larsson,RW,PIT,10,2,3,5
Valtteri Puustinen,LW,NJD,11,2,3,5
Mark Friedman,LW,MIN,12,2,3,5
Zach Bogosian,C/RW,LAK,17,2,3,5
Nic Petan,LW,ARI,26,2,3,5
Brayden McNabb,LD,STL,18,1,3,4
Vladislav Kolyachonok,LD,VAN,15,1,3,4
Josh Brown,RD,NJD,15,1,3,4
Rasmus Kupari,LD,ANA,20,1,3,4
Nick Perbix,LD,EDM,20,0,4,4
Marco Scandella,RD,CAR,19,0,4,4
Stefan Noesen,RW,CAR,12,3,1,4
Jalen Chatfield,LW/RW,SJS,15,2,2,4
Nicolas Beaudin,RW,MIN,12,2,2,4
Xavier Bourgault,C,EDM,9,2,2,4
Grigori Denisenko,LW,WAS,11,2,2,4
Reilly Walsh,LW,TBL,20,2,2,4
Jonah Gadjovich,C/LW,SEA,12,1,3,4
Wyatt Kalynuk,C,NYI,19,1,3,4
Hendrix Lapierre,LW,FLA,12,1,3,4
Pavol Regenda,LD,TBL,18,1,2,3
Olli Juolevi,RD,DET,17,1,2,3
Otto Koivula,LD,WAS,16,0,3,3
Alexander True,RD,VAN,11,0,3,3
Gabriel Fortier,LD,NYR,24,0,3,3
Slater Koekkoek,LD,CAR,18,0,3,3
Tanner Laczynski,RD,ANA,18,0,3,3
Lias Andersson,LD,NSH,51,1,2,3
Drew Helleson,LW,TOR,20,1,2,3
Marc McLaughlin,LW,SEA,14,1,2,3
William Lagesson,LW,PHI,20,1,2,3
Frank Nazar,LW,NYI,26,1,2,3
Mark Pysyk,LW,LAK,15,1,2,3
Mark Borowiecki,RW,CHI,9,1,2,3
Ross Johnston,C,BOS,13,1,2,3
Libor Hajek,C/RW,ANA,15,1,2,3
Glenn Gawdin,RD,NJD,9,1,1,2
Max Willman,LD,WPG,12,0,2,2
Carsen Twarynski,LD,WAS,18,0,2,2
Sean Day,RD,VAN,33,0,2,2
Kyle Clifford,LD,PHI,22,0,2,2
Noah Juulsen,LD,MON,12,0,2,2
Matt Irwin,LD,DET,12,0,2,2
Andrew Ladd,RD,CGY,10,0,2,2
Nicolas Meloche,C,TOR,6,1,1,2
Alex Turcotte,LW,MON,9,1,1,2
Juraj Slafkovsky,C,LAK,12,1,1,2
Mattias Norlinder,RW,WAS,7,0,2,2
Jack Dugan,RW,NSH,8,0,2,2
Kiefer Sherwood,LW,NJD,8,0,2,2
Nick Seeler,RW,CBJ,18,0,2,2
Adam Gaudette,LW/RW,ARI,10,0,2,2
Garrett Pilon,LW,PIT,3,1,0,1
Alexander Alexeyev,LD,NJD,16,0,1,1
Nathan Beaulieu,RD,MON,6,0,1,1
Mathieu Olivier,LD,CAR,4,0,1,1
Simon Nemec,LD,ANA,8,0,1,1
Kyle Burroughs,RW,WAS,6,0,1,1
John Moore,RW,DET,3,0,1,1
Dylan Guenther,LW,DET,3,0,1,1
Chris Wagner,RW,DAL,7,0,1,1
Maxime Lajoie,C,CGY,4,0,1,1
Clark Bishop,RW,BOS,8,0,1,1
Nick Caamano,LW/RW,ARI,6,0,1,1
Scott Perunovich,LD,CAR,0,0,0,0
Sean Kuraly,RD,UFA,0,0,0,0
Matt Luff,RD,UFA,0,0,0,0
Madison Bowey,RD,UFA,0,0,0,0
Mason Geertsen,LD,UFA,0,0,0,0
Samuel Poulin,LD,UFA,0,0,0,0
Brett Leason,LD,UFA,0,0,0,0
P.K. Subban,LD,UFA,0,0,0,0
Jake Gardiner,LD,UFA,0,0,0,0
Arttu Ruotsalainen,LD,UFA,0,0,0,0
Alexandre Texier,LD,UFA,0,0,0,0
Michael Raffl,LD,UFA,0,#N/A,#N/A,0
Tarmo Reunanen,LD,UFA,0,#N/A,#N/A,0
Joey Keane,RW,UFA,0,0,0,0
Sasha Chmelevski,RW,UFA,0,0,0,0
Rocco Grimaldi,RW,UFA,0,0,0,0
Ben Harpur,RW,UFA,0,0,0,0
Jimmy Vesey,RW,UFA,0,0,0,0
Cedric Paquette,RW,UFA,0,0,0,0
Mathieu Perreault,RW,UFA,0,0,0,0
Victor Rask,RW,UFA,0,0,0,0
Maxim Mamin,RW,UFA,0,0,0,0
Kyle Turris,RW,UFA,0,0,0,0
Carter Rowney,RW,UFA,0,0,0,0
Blake Comeau,RW,UFA,0,#N/A,#N/A,0
Michael Stone,RW,UFA,0,0,0,0
Dean Kukan,RW,UFA,0,#N/A,#N/A,0
Scott Harrington,LW/RW,UFA,0,0,0,0
Antoine Roussel,LW,UFA,0,0,0,0
Cody Eakin,LW,UFA,0,0,0,0
Johan Larsson,LW,UFA,0,0,0,0
Joe Thornton,LW,UFA,0,0,0,0
Nate Thompson,LW,UFA,0,0,0,0
Derick Brassard,LW,UFA,0,0,0,0
Brian Boyle,LW,UFA,0,0,0,0
Riley Nash,C,UFA,0,0,0,0
Tyler Bozak,C,UFA,0,0,0,0
Zach Aston-Reese,C,UFA,0,0,0,0
Jonathan Dahlen,C,UFA,0,0,0,0
Alex Galchenyuk,C,UFA,0,0,0,0
Tyler Ennis,C,UFA,0,0,0,0
Sonny Milano,C,UFA,0,0,0,0
Richard Panik,C,UFA,0,0,0,0
Tyler Pitlick,C,UFA,0,0,0,0
Brett Connolly,C,UFA,0,0,0,0
Daniel Sprong,C,UFA,0,0,0,0
Loui Eriksson,C,UFA,0,0,0,0
Dominik Simon,C,UFA,0,#N/A,#N/A,0
Nick Merkley,C,UFA,0,#N/A,#N/A,0
Colton Sceviour,C,UFA,0,#N/A,#N/A,0
Alex Chiasson,RW,SJS,0,0,0,0
Danny DeKeyser,RW,CBJ,0,0,0,0
David Farrance,RD,CAR,0,0,0,0
Zdeno Chara,LD,CAR,0,0,0,0
Dennis Cholowski,RW,BUF,0,0,0,0
Andy Greene,RW,BOS,0,0,0,0
