Player,Pos,Team,Games,Goals,Assists,Points
Tony DeAngelo,C/RW,OTT,79,22,42,64
Rasmus Dahlin,RW,DET,80,23,41,64
Patrice Bergeron,RW,PIT,70,28,35,63
Brock Boeser,RW,VAN,76,21,42,63
Nico Hischier,C,OTT,79,23,40,63
Cale Makar,RD,FLA,68,16,46,62
Andrei Svechnikov,RD,PIT,75,13,49,62
Michael Bunting,RW,CGY,77,30,32,62
Ryan Strome,LW,FLA,72,23,39,62
Anton Lundell,C,SJS,75,29,33,62
Viktor Arvidsson,C,BOS,74,27,35,62
Taylor Hall,RW,CAR,76,24,38,62
Andrew Copp,LW,MIN,76,21,41,62
Miro Heiskanen,RW,SEA,75,27,35,62
Vincent Trocheck,C,MIN,80,30,31,61
Trevor Moore,LW,DET,69,28,33,61
Jakub Vrana,C,NYR,76,21,40,61
Travis Konecny,C,VGK,78,19,42,61
David Pastrnak,LD,VGK,80,15,45,60
Zach Werenski,C,STL,75,25,35,60
Ryan Nugent-Hopkins,LW,TOR,78,23,37,60
Anders Lee,C/RW,SEA,74,24,36,60
Phillip Danault,C,NSH,77,13,47,60
Clayton Keller,LD,COL,76,11,48,59
Shea Theodore,LW,CGY,81,32,27,59
Jakub Voracek,C/LW,WPG,78,30,29,59
Adrian Kempe,C/RW,DAL,75,26,33,59
Jeff Skinner,C,CBJ,79,23,35,58
Andre Burakovsky,C/RW,FLA,70,27,31,58
Alex Killorn,C,VAN,78,28,30,58
Pavel Zacha,LW/RW,BUF,77,28,30,58
Nazem Kadri,RD,PHI,72,12,45,57
Valeri Nichushkin,C,NYI,78,34,23,57
Moritz Seider,C,FLA,72,26,31,57
Ryan Johansen,RW,ANA,69,31,26,57
Noah Hanifin,RW,LAK,72,21,36,57
Evan Bouchard,C,ANA,79,20,37,57
Nikolaj Ehlers,LD,BUF,78,10,46,56
Martin Necas,LW/RW,COL,74,25,31,56
Jonathan Toews,LW,LAK,80,20,36,56
Dylan Strome,LW,SEA,76,24,32,56
Victor Olofsson,C,SEA,80,24,32,56
Rickard Rakell,LW,BOS,79,20,36,56
Alex Tuch,C/RW,DET,76,20,36,56
Kailer Yamamoto,C,BOS,72,19,37,56
Adam Henrique,LW,CBJ,80,11,45,56
Victor Hedman,LD,CBJ,71,14,41,55
Elias Pettersson,LD,DAL,77,11,44,55
Yanni Gourde,LW,DET,72,31,24,55
Logan Couture,RW,VAN,72,25,30,55
Damon Severson,C/LW,EDM,73,20,35,55
Philip Tomasino,LW/RW,PHI,78,22,33,55
Lawson Crouse,RW,VGK,82,12,43,55
Tage Thompson,RD,DET,82,8,46,54
Cam Atkinson,LW,LAK,80,30,24,54
Yegor Sharangovich,C,NJD,64,23,31,54
Brady Tkachuk,RD,NYI,79,14,39,53
Connor Brown,RW,PHI,73,24,29,53
Jesse Puljujarvi,LW,EDM,70,26,27,53
Conor Sheary,C,NSH,78,18,35,53
Nino Niederreiter,C,SEA,79,21,31,52
Darnell Nurse,LW,NYI,72,27,25,52
Ivan Barbashev,RW,CAR,78,18,34,52
Jonathan Drouin,LW,NYI,75,18,34,52
David Perron,LD,OTT,73,12,39,51
Jamie Benn,LW/RW,BOS,76,26,25,51
Ilya Mikheyev,C,BOS,74,20,31,51
Dylan Cozens,C,CHI,72,20,31,51
Ryan O'Reilly,RD,NJD,81,11,39,50
Tim Stutzle,RD,ANA,74,8,42,50
Josh Bailey,C,MIN,78,23,27,50
Seth Jones,C,SJS,75,22,28,50
Cole Sillinger,LW/RW,TBL,76,21,29,50
Rasmus Andersson,C,WAS,70,21,29,50
Josh Morrissey,LW,NJD,78,17,33,50
Morgan Rielly,RD,LAK,68,12,37,49
Matt Duchene,LD,CGY,79,11,38,49
James van Riemsdyk,RW,PIT,75,23,26,49
Brandon Saad,LW,DET,80,24,25,49
Charlie Coyle,LW,BUF,74,25,24,49
Marcus Foligno,RW,WAS,76,14,35,49
Blake Wheeler,RD,EDM,80,13,35,48
Jack Roslovic,RD,CAR,82,12,36,48
Alexander Kerfoot,C,LAK,80,23,25,48
Mike Hoffman,LW,NJD,77,23,25,48
Frank Vatrano,RW,EDM,73,17,31,48
Tanner Jeannot,RW,NJD,81,20,28,48
Dougie Hamilton,RW,BUF,65,16,32,48
Paul Stastny,RW,CHI,78,15,33,48
Brayden Point,LD,ARI,68,17,30,47
Tyler Toffoli,LD,STL,71,8,39,47
Erik Karlsson,RW,EDM,80,21,26,47
Marco Rossi,LW/RW,NSH,79,22,25,47
Mikael Backlund,C,DAL,80,18,29,47
Jaccob Slavin,LW,CBJ,78,16,31,47
Jean-Gabriel Pageau,RW,NYI,78,16,31,47
Jeff Carter,RW,NSH,77,16,31,47
Bryan Rust,LD,EDM,79,13,33,46
Tyler Seguin,LD,TBL,81,9,37,46
Andrew Mangiapane,RD,EDM,78,9,37,46
Matty Beniers,RD,CHI,76,7,39,46
Cam Fowler,LW,WAS,75,17,29,46
Carter Verhaeghe,LD,FLA,74,11,34,45
Mikael Granlund,LD,ARI,73,12,33,45
Reilly Smith,LW,STL,73,22,23,45
Nicolas Roy,C,VGK,75,15,30,45
Mackenzie Weegar,C/LW,STL,75,17,28,45
Artturi Lehkonen,LW,PHI,81,23,22,45
Anthony Mantha,C/RW,COL,73,17,28,45
Jesperi Kotkaniemi,C,CBJ,79,21,24,45
Cole Perfetti,C,BUF,78,20,25,45
Oliver Wahlstrom,C/LW,TOR,80,13,32,45
Pierre Engvall,C,MON,73,15,30,45
Owen Power,C,CBJ,69,22,23,45
Ryan Hartman,LD,WPG,79,13,31,44
Brock Nelson,RD,SJS,65,11,33,44
David Krejci,RD,CGY,82,6,38,44
Jake Debrusk,C,PHI,55,20,24,44
Mikhail Sergachev,LW,VAN,64,22,22,44
Casey Mittelstadt,LW,VGK,73,23,21,44
Samuel Girard,C/RW,ANA,71,25,19,44
Alex Pietrangelo,C,PHI,70,19,25,44
Mason Marchment,LW/RW,NYR,80,20,24,44
Mason McTavish,LW,MON,76,20,24,44
Alexander Holtz,C,BOS,80,15,29,44
Jordan Staal,LW,MON,66,16,28,44
Thomas Chabot,RD,DET,80,6,37,43
Jaden Schwartz,LW,ANA,78,22,21,43
Craig Smith,RW,NSH,81,20,23,43
Boone Jenner,RW,WAS,68,20,23,43
Jordan Greenway,C,MIN,77,15,28,43
Jamie Drysdale,RW,SEA,77,21,22,43
Adam Boqvist,RW,PIT,75,15,28,43
Nathan Smith,C,BUF,68,14,29,43
Devon Toews,RD,VGK,76,14,28,42
Pierre-Luc Dubois,RD,MIN,73,12,30,42
Anthony Beauvillier,RD,NJD,68,9,33,42
John Klingberg,LD,CAR,79,5,37,42
Ondrej Palat,LD,COL,74,6,36,42
Vince Dunn,C,CGY,80,15,27,42
Ross Colton,LW/RW,MIN,70,16,26,42
Colton Parayko,C,VGK,77,16,26,42
Zach Hyman,RD,CGY,74,9,32,41
Charlie McAvoy,LW,COL,76,20,21,41
Ivan Provorov,C,NYI,79,21,20,41
Alexander Barabanov,C/RW,PIT,76,18,23,41
Evgenii Dadonov,C,CAR,76,19,22,41
Erik Haula,LW,WAS,61,17,24,41
Calle Jarnkrok,LW,DAL,67,17,24,41
Tomas Tatar,LW,SEA,68,17,24,41
Phil Kessel,RD,STL,79,11,29,40
Noah Dobson,RD,PIT,77,11,29,40
Joel Eriksson Ek,LD,PHI,81,11,29,40
Dominik Kubalik,RD,BOS,50,5,35,40
Drew Doughty,LD,ANA,76,8,32,40
Gustav Nyquist,LD,SEA,75,7,33,40
Connor McMichael,LW,ARI,73,21,19,40
Dmitry Orlov,RW,BOS,78,19,21,40
J.T. Compher,RW,SJS,78,16,24,40
Denis Gurianov,C/LW,CAR,72,12,28,40
Justin Schultz,C/LW,WPG,72,13,27,40
Travis Sanheim,C/LW,BUF,76,14,26,40
Matt Grzelcyk,LW,CBJ,76,13,27,40
Eric Staal,C/RW,COL,70,16,24,40
Brent Burns,LD,MON,74,10,29,39
