POS RANK,PLAYER,POS,TEAM,GP,G,A,Points
D,Erik Gudbranson,D,CBJ,75,3,8,11
D,Madison Bowey,D,MTL,35,1,10,11
C,Jesper Boqvist,C,NJD,40,6,5,11
D,Robin Salo,D,NYI,45,3,8,11
W,Steven Lorentz,W,SJ,65,5,6,11
W,Karson Kuhlman,W,SEA,60,4,7,11
D,Cal Foote,D,TB,59,3,8,11
C,Justin Dowling,C,VAN,60,4,7,11
D,Tucker Poolman,D,VAN,68,2,9,11
D,Ben Hutton,D,VGK,53,2,9,11
W,Jansen Harkins,W,WPG,67,5,6,11
D,Connor Clifton,D,BOS,68,3,7,10
W,Yegor Chinakhov,W,CBJ,45,4,6,10
D,Nils Lundkvist,D,DAL,46,4,6,10
W,Grigori Denisenko,W,FLA,30,3,7,10
W,John Leonard,W,NSH,40,2,8,10
D,Jeremy Lauzon,D,NSH,66,2,8,10
