POS RANK,PLAYER,POS,TEAM,GP,G,A,Points
C,Connor McDavid,C,EDM,80,40,84,124
C,Leon Draisaitl,C,EDM,82,48,70,118
C,Nathan MacKinnon,C,COL,77,40,68,108
C,Auston Matthews,C,TOR,79,61,47,108
W,Mitchell Marner,W,TOR,78,32,69,101
W,Mikko Rantanen,W,COL,74,40,58,98
W,Jonathan Huberdeau,W,CGY,81,31,66,97
W,Kirill Kaprizov,W,MIN,77,44,51,95
W,J.T. Miller,W,VAN,81,36,58,94
W,Steven Stamkos,W,TB,76,43,50,93
W,Artemi Panarin,W,NYR,78,30,62,92
W,Nikita Kucherov,W,TB,64,35,56,91
C,Aleksander Barkov,C,FLA,77,36,53,89
W,Filip Forsberg,W,NSH,75,41,47,88
C,Sebastian Aho,C,CAR,81,38,48,86
W,Patrick Kane,W,CHI,81,32,54,86
D,Cale Makar,D,COL,76,23,63,86
C,Sidney Crosby,C,PIT,74,31,55,86
W,Johnny Gaudreau,W,CBJ,82,29,56,85
C,Mika Zibanejad,C,NYR,79,38,47,85
W,Kyle Connor,W,WPG,82,44,41,85
W,Matthew Tkachuk,W,FLA,82,33,51,84
W,David Pastrnak,W,BOS,78,38,43,81
W,Kevin Fiala,W,LAK,80,34,47,81
C,Jack Hughes,C,NJD,74,33,48,81
W,Alex Ovechkin,W,WAS,78,38,42,80
W,Jake Guentzel,W,PIT,75,36,43,79
W,Pavel Buchnevich,W,STL,79,33,46,79
D,Victor Hedman,D,TB,81,17,61,78
W,Gabriel Landeskog,W,COL,72,33,44,77
W,Andrei Svechnikov,W,CAR,81,30,46,76
C,Sam Reinhart,C,FLA,81,34,42,76
W,Bryan Rust,W,PIT,75,35,41,76
C,Mark Scheifele,C,WPG,79,30,46,76
W,Elias Lindholm,W,CGY,82,31,44,75
W,Jason Robertson,W,DAL,75,35,40,75
D,John Carlson,D,WAS,80,17,58,75
W,Ondrej Palat,W,NJD,81,24,50,74
W,Mats Zuccarello,W,MIN,76,23,50,73
D,Adam Fox,D,NYR,81,20,53,73
C,Roope Hintz,C,DAL,77,31,41,72
D,Roman Josi,D,NSH,80,18,54,72
W,Andre Burakovsky,W,SEA,79,29,43,72
C,Brayden Point,C,TB,78,32,40,72
C,Evgeny Kuznetsov,C,WAS,77,23,49,72
W,Blake Wheeler,W,WPG,78,23,49,72
W,Teuvo Teravainen,W,CAR,74,24,46,70
C,Dylan Larkin,C,DET,78,28,42,70
W,Vladimir Tarasenko,W,STL,70,34,36,70
C,Robert Thomas,C,STL,75,18,52,70
D,Quinn Hughes,D,VAN,80,19,51,70
C,Patrice Bergeron,C,BOS,78,30,38,68
W,Joe Pavelski,W,DAL,81,32,36,68
C,Anze Kopitar,C,LAK,82,21,47,68
W,Alex DeBrincat,W,OTT,81,36,32,68
C,Josh Norris,C,OTT,75,38,29,68
W,William Nylander,W,TOR,80,26,41,67
W,Patrik Laine,W,CBJ,75,35,31,67
C,Ryan Nugent-Hopkins,C,EDM,76,24,42,66
W,Jesper Bratt,W,NJD,77,24,42,66
C,Mathew Barzal,C,NYI,80,19,47,66
W,Chris Kreider,W,NYR,79,28,38,66
W,Timo Meier,W,SJ,81,31,35,66
C,Ryan O'Reilly,C,STL,81,23,43,66
W,Mark Stone,W,VGK,72,25,41,66
W,Jordan Kyrou,W,STL,72,24,41,66
C,Elias Pettersson,C,VAN,75,28,37,65
C,Evgeni Malkin,C,PIT,66,24,40,65
C,Ryan Strome,C,ANA,80,23,40,64
W,Jakub Voracek,W,CBJ,81,17,46,63
D,Kris Letang,D,PIT,79,14,49,63
C,John Tavares,C,TOR,75,27,36,63
W,Brad Marchand,W,BOS,59,26,36,62
C,Brock Nelson,C,NYI,80,33,29,62
C,Brayden Schenn,C,STL,78,26,36,62
C,Chandler Stephenson,C,VGK,79,23,39,62
W,Clayton Keller,W,ARI,79,23,38,61
C,Nick Schmaltz,C,ARI,77,20,41,61
D,Aaron Ekblad,D,FLA,73,20,41,61
C,Tomas Hertl,C,SJ,76,28,33,61
W,David Perron,W,DET,79,24,36,60
C,Nick Suzuki,C,MTL,82,21,39,60
W,Mike Hoffman,W,MTL,78,28,32,60
C,Matt Duchene,C,NSH,76,26,34,60
W,Travis Konecny,W,PHI,79,23,37,60
W,Alex Killorn,W,TB,82,25,35,60
C,Jack Eichel,C,VGK,65,25,35,60
C,Nazem Kadri,C,CGY,76,25,34,59
W,Evander Kane,W,EDM,73,31,28,59
W,Brady Tkachuk,W,OTT,82,27,32,59
D,Tony Deangelo,D,PHI,68,13,46,59
W,Nikolaj Ehlers,W,WPG,76,27,32,59
W,Troy Terry,W,ANA,75,25,33,58
C,Trevor Zegras,C,ANA,75,20,38,58
W,Jeff Skinner,W,BUF,79,33,25,58
W,Martin Necas,W,CAR,79,23,35,58
W,Brock Boeser,W,VAN,77,27,31,58
W,Tage Thompson,W,BUF,70,27,30,57
C,Nico Hischier,C,NJD,70,23,34,57
W,Max Domi,W,CHI,80,18,38,56
W,Jonathan Marchessault,W,VGK,80,25,31,56
W,Tyler Toffoli,W,CGY,79,27,28,55
C,Bo Horvat,C,VAN,79,26,29,55
W,Tyler Bertuzzi,W,DET,70,24,30,54
W,Lucas Raymond,W,DET,75,21,33,54
W,Adrian Kempe,W,LAK,81,25,29,54
C,Ryan Hartman,C,MIN,81,24,30,54
W,Oliver Bjorkstrand,W,SEA,77,26,28,54
D,Devon Toews,D,COL,78,12,41,53
C,Mikael Granlund,C,NSH,79,16,37,53
W,Josh Bailey,W,NYI,80,15,38,53
W,Cam Atkinson,W,PHI,75,26,27,53
C,Logan Couture,C,SJ,77,24,29,53
D,Morgan Rielly,D,TOR,77,10,43,53
W,Reilly Smith,W,VGK,76,23,30,53
D,Shea Theodore,D,VGK,81,14,39,53
W,T.J. Oshie,W,WAS,74,24,29,53
C,Pierre-Luc Dubois,C,WPG,80,22,31,53
W,Dominik Kubalik,W,DET,81,26,26,52
C,Joel Eriksson Ek,C,MIN,79,22,30,52
W,Taylor Hall,W,BOS,80,18,33,51
D,Brent Burns,D,CAR,82,15,36,51
W,Jakub Vrana,W,DET,70,27,24,51
C,Anton Lundell,C,FLA,70,21,30,51
C,Jared McCann,C,SEA,77,22,29,51
D,Torey Krug,D,STL,76,9,42,51
W,Michael Bunting,W,TOR,61,21,30,51
W,Phil Kessel,W,VGK,82,19,32,51
D,Rasmus Dahlin,D,BUF,79,10,40,50
C,Jack Roslovic,C,CBJ,80,20,30,50
W,Andrew Copp,W,DET,78,20,30,50
D,Moritz Seider,D,DET,75,7,43,50
W,Matt Boldy,W,MIN,70,19,31,50
C,Ryan Johansen,C,NSH,79,16,34,50
W,Joel Farabee,W,PHI,75,24,26,50
W,Conor Garland,W,VAN,79,22,28,50
D,Seth Jones,D,CHI,78,9,40,49
W,Zach Hyman,W,EDM,75,23,26,49
C,Jean-Gabriel Pageau,C,NYI,80,24,25,49
C,Kevin Hayes,C,PHI,75,20,29,49
W,Jordan Eberle,W,SEA,79,22,27,49
C,William Karlsson,C,VGK,78,20,29,49
W,Andrew Mangiapane,W,CGY,82,28,20,48
D,Mackenzie Weegar,D,CGY,76,10,38,48
D,Dougie Hamilton,D,NJD,73,15,33,48
W,Valeri Nichushkin,W,COL,77,18,29,47
D,Drew Doughty,D,LAK,73,10,37,47
C,Adam Henrique,C,ANA,75,24,22,46
D,John Klingberg,D,ANA,77,9,37,46
W,Victor Olofsson,W,BUF,77,19,27,46
D,Zach Werenski,D,CBJ,74,14,32,46
W,Jamie Benn,W,DAL,81,20,26,46
D,Neal Pionk,D,WPG,81,6,40,46
W,Anthony Duclair,W,FLA,57,21,24,45
C,Vincent Trocheck,C,NYR,78,17,28,45
C,Claude Giroux,C,OTT,80,16,29,45
C,Tim Stutzle,C,OTT,67,17,28,45
C,Yanni Gourde,C,SEA,80,20,25,45
W,Alex Tuch,W,BUF,70,18,26,44
C,Jonathan Toews,C,CHI,69,18,26,44
C,Tyler Seguin,C,DAL,71,19,25,44
W,Mason marchment,W,DAL,65,16,28,44
W,Carter Verhaeghe,W,FLA,75,21,23,44
W,Marcus Foligno,W,MIN,75,18,26,44
D,Damon Severson,D,NJD,81,10,34,44
W,Anders Lee,W,NYI,75,22,22,44
C,Mathieu Joseph,C,OTT,73,23,21,44
W,James van Riemsdyk,W,PHI,81,22,22,44
C,Anthony Cirelli,C,TB,79,17,27,44
W,Lawson Crouse,W,ARI,77,19,24,43
C,Alex Newhook,C,COL,74,16,27,43
W,Viktor Arvidsson,W,LAK,75,22,21,43
C,Christian Dvorak,C,MTL,77,18,25,43
W,Cole Caufield,W,MTL,70,24,19,43
W,Nino Niederreiter,W,NSH,80,21,22,43
W,Jaden Schwartz,W,SEA,70,16,27,43
W,Jake DeBrusk,W,BOS,77,21,21,42
W,Pavel Zacha,W,BOS,77,16,26,42
C,Mikael Backlund,C,CGY,82,16,26,42
C,Frederick Gaudreau,C,MIN,75,14,28,42
D,Jared Spurgeon,D,MIN,77,12,30,42
W,Alexander Barabanov,W,SJ,70,12,30,42
C,Alexander Kerfoot,C,TOR,71,16,26,42
C,Charlie Coyle,C,BOS,81,15,26,41
D,Miro Heiskanen,D,DAL,79,10,31,41
C,Phillip Danault,C,LAK,81,14,27,41
W,Alex Iafallo,W,LAK,81,17,24,41
C,Sean Couturier,C,PHI,57,16,25,41
W,Luke Kunin,W,SJ,77,20,21,41
C,Ivan Barbashev,C,STL,78,18,23,41
D,Mikhail Sergachev,D,TB,81,8,33,41
D,Alex Pietrangelo,D,VGK,79,10,31,41
C,Dylan Strome,C,WAS,74,16,25,41
D,Rasmus Andersson,D,CGY,82,5,35,40
C,Sean Kuraly,C,CBJ,79,15,25,40
D,Ryan Suter,D,DAL,82,6,34,40
D,Jonas Brodin,D,MIN,79,9,31,40
W,Tomas Tatar,W,NJD,79,19,21,40
W,Anthony Beauvillier,W,NYI,78,20,20,40
W,Drake Batherson,W,OTT,66,18,22,40
W,Ilya Mikheyev,W,VAN,70,17,23,40
D,Cam Fowler,D,ANA,79,8,31,39
D,Jakob Chychrun,D,ARI,74,15,24,39
W,Seth Jarvis,W,CAR,54,16,23,39
W,Gustav Nyquist,W,CBJ,71,16,23,39
D,Darnell Nurse,D,EDM,80,10,29,39
D,Evan Bouchard,D,EDM,75,12,27,39
C,Sam Bennett,C,FLA,75,19,20,39
W,Evgenii Dadonov,W,MTL,81,17,22,39
D,Chris Wideman,D,MTL,70,10,29,39
W,Tanner Jeannot,W,NSH,78,22,17,39
D,Noah Dobson,D,NYI,73,9,30,39
D,Thomas Chabot,D,OTT,76,9,30,39
D,Erik Karlsson,D,SJ,72,9,30,39
W,Brandon Hagel,W,TB,67,20,19,39
W,Tanner Pearson,W,VAN,78,19,20,39
D,Josh Morrissey,D,WPG,80,10,29,39
W,Frank Vatrano,W,ANA,80,22,16,38
D,Jaccob Slavin,D,CAR,80,7,31,38
D,Tyson Barrie,D,EDM,80,8,30,38
W,Jordan Greenway,W,MIN,77,12,26,38
C,Dawson Mercer,C,NJD,78,15,23,38
W,Kyle Palmieri,W,NYI,77,18,20,38
W,Alexis Lafreniere,W,NYR,78,23,15,38
D,Vince Dunn,D,SEA,78,11,27,38
W,Brandon Saad,W,STL,76,18,20,38
D,Justin Faulk,D,STL,81,12,26,38
D,Charlie McAvoy,D,BOS,60,7,30,37
W,Blake Coleman,W,CGY,81,18,19,37
W,Artturi Lehkonen,W,COL,79,17,20,37
W,Denis Gurianov,W,DAL,79,17,20,37
D,Ivan Provorov,D,PHI,81,11,26,37
W,Connor Brown,W,WAS,79,15,22,37
D,Noah Hanifin,D,CGY,80,7,29,36
W,Tyler Johnson,W,CHI,70,15,21,36
W,Kailer Yamamoto,W,EDM,73,16,20,36
W,Patric Hornqvist,W,FLA,73,16,20,36
W,Jason Zucker,W,PIT,68,19,17,36
W,Rickard Rakell,W,PIT,78,17,19,36
D,Jeff Petry,D,PIT,79,10,26,36
C,Nick Bonino,C,SJ,81,16,20,36
W,Anthony Mantha,W,WAS,68,15,21,36
D,Kevin Shattenkirk,D,ANA,82,7,28,35
D,Shayne Gostisbehere,D,ARI,74,10,25,35
W,Paul Stastny,W,CAR,80,13,22,35
C,Boone Jenner,C,CBJ,75,15,20,35
W,Brendan Gallagher,W,MTL,71,18,17,35
D,Mike Matheson,D,MTL,76,11,24,35
W,Yegor Sharangovich,W,NJD,67,17,18,35
W,Kasperi Kapanen,W,PIT,78,13,22,35
C,Jeff Carter,C,PIT,78,17,18,35
C,Erik Haula,C,NJD,76,16,18,34
C,Scott Laughton,C,PHI,74,14,20,34
C,Matthew Beniers,C,SEA,65,11,23,34
D,Nate Schmidt,D,WPG,78,6,28,34
W,Andreas Athanasiou,W,CHI,67,18,15,33
C,Colin Blackwell,C,CHI,67,14,19,33
D,Filip Hronek,D,DET,80,6,27,33
D,Gustav Forsling,D,FLA,72,9,24,33
D,Mattias Ekholm,D,NSH,79,8,25,33
C,Cole Perfetti,C,WPG,70,11,22,33
W,Max Comtois,W,ANA,68,14,18,32
D,Hampus Lindholm,D,BOS,69,7,25,32
C,Dylan Cozens,C,BUF,70,10,22,32
C,Casey Mittelstadt,C,BUF,70,13,19,32
W,Kyle Okposo,W,BUF,73,12,20,32
W,Robby Fabbri,W,DET,65,15,17,32
W,Jonathan Drouin,W,MTL,62,9,23,32
W,Eeli Tolvanen,W,NSH,75,16,16,32
D,Ryan Graves,D,NJD,80,8,24,32
C,Alex Wennberg,C,SEA,79,8,24,32
C,Nicolas Roy,C,VGK,77,14,18,32
W,Craig Smith,W,BOS,80,15,16,31
W,Max Pacioretty,W,CAR,37,15,16,31
W,Jesse Puljujarvi,W,EDM,65,15,16,31
D,Brandon Montour,D,FLA,77,8,23,31
D,Ryan Pulock,D,NYI,76,7,24,31
W,Calle Jarnkrok,W,TOR,76,13,18,31
D,Oliver Ekman-Larsson,D,VAN,79,9,22,31
W,Tom Wilson,W,WAS,54,13,18,31
C,Travis Boyd,C,ARI,68,12,18,30
D,Henri Jokiharju,D,BUF,75,5,25,30
W,Jesper Fast,W,CAR,80,11,19,30
D,Brady Skjei,D,CAR,81,7,23,30
C,Kirby Dach,C,MTL,71,11,19,30
W,Pierre Engvall,W,TOR,74,15,15,30
D,Mark Giordano,D,TOR,79,8,22,30
W,Conor Sheary,W,WAS,78,15,15,30
D,Jamie Drysdale,D,ANA,75,8,21,29
C,David Krejci,C,BOS,70,9,20,29
C,Peyton Krebs,C,BUF,70,13,16,29
D,Adam Boqvist,D,CBJ,66,10,19,29
D,Matt Dumba,D,MIN,76,9,20,29
W,Barclay Goodrow,W,NYR,81,10,19,29
W,Kevin Labanc,W,SJ,70,11,18,29
W,Brandon Tanev,W,SEA,67,13,16,29
D,Justin Schultz,D,SEA,74,7,22,29
D,Timothy Liljegren,D,TOR,65,8,21,29
C,Nicklas Backstrom,C,WAS,43,8,21,29
W,Dillon Dube,W,CGY,75,12,16,28
C,Lukas Reichel,C,CHI,65,9,19,28
W,J.T. Compher,W,COL,77,14,14,28
C,Evan Rodrigues,C,COL,73,10,18,28
D,Samuel Girard,D,COL,77,7,21,28
D,Josh Manson,D,COL,69,8,20,28
C,Pius Suter,C,DET,68,13,15,28
W,Trevor Moore,W,LAK,76,10,18,28
W,Josh Anderson,W,MTL,70,16,12,28
C,Filip Chytil,C,NYR,74,13,15,28
W,Kaapo Kakko,W,NYR,72,13,15,28
D,Jacob Trouba,D,NYR,78,7,21,28
D,Colton Parayko,D,STL,76,6,22,28
C,Nick Paul,C,TB,79,13,15,28
W,Vladislav Namestnikov,W,TB,79,12,16,28
W,Corey Perry,W,TB,78,12,16,28
C,Derek Grant,C,ANA,75,11,16,27
C,Mason McTavish,C,ANA,75,9,18,27
C,Jesperi Kotkaniemi,C,CAR,72,10,17,27
C,Cole Sillinger,C,CBJ,65,14,13,27
D,Vladislav Gavrikov,D,CBJ,81,5,22,27
D,Alexandre Carrier,D,NSH,75,4,23,27
W,Zach Parise,W,NYI,80,12,15,27
W,Alex Formenton,W,OTT,65,14,13,27
D,Rasmus Ristolainen,D,PHI,77,6,21,27
W,Oskar Lindblom,W,SJ,72,13,14,27
D,Nick Leddy,D,STL,79,5,22,27
D,Jake Muzzin,D,TOR,71,6,21,27
D,Justin Holl,D,TOR,79,4,23,27
D,Alec Martinez,D,VGK,67,8,19,27
D,Dmitry Orlov,D,WAS,80,7,20,27
C,Jack McBain,C,ARI,70,15,11,26
C,Nathan Smith,C,ARI,70,12,14,26
C,Barrett Hayton,C,ARI,60,11,15,26
D,Brett Pesce,D,CAR,78,5,21,26
W,Andreas Johnsson,W,NJD,73,10,16,26
W,Oliver Wahlstrom,W,NYI,75,15,11,26
D,Travis Sanheim,D,PHI,81,6,20,26
C,Teddy Blueger,C,PIT,76,10,16,26
W,Joonas Donskoi,W,SEA,79,11,15,26
D,Carson Soucy,D,SEA,74,9,17,26
C,Lars Eller,C,WAS,77,11,15,26
W,Jakob Silfverberg,W,ANA,74,11,14,25
D,Christopher Tanev,D,CGY,82,5,20,25
W,Eric Robinson,W,CBJ,75,11,14,25
W,Warren Foegele,W,EDM,81,12,13,25
W,Owen Tippett,W,PHI,65,11,14,25
W,Ryan Donato,W,SEA,78,12,13,25
W,Ross Colton,W,TB,62,16,9,25
D,TJ Brodie,D,TOR,81,4,21,25
W,William Carrier,W,VGK,78,12,13,25
C,Isac Lundestrom,C,ANA,75,12,12,24
W,Nick Ritchie,W,ARI,73,11,13,24
D,Owen Power,D,BUF,65,7,17,24
C,Jordan Staal,C,CAR,80,9,15,24
D,Cody Ceci,D,EDM,78,6,18,24
W,Arthur Kaliyev,W,LAK,65,10,14,24
D,Alexander Edler,D,LAK,71,5,19,24
W,Joel Armia,W,MTL,72,12,12,24
W,Philip Tomasino,W,NSH,75,8,16,24
D,John Marino,D,NJD,78,4,20,24
W,Sammy Blais,W,NYR,59,10,14,24
C,Parker Kelly,C,OTT,65,15,9,24
C,Shane Pinto,C,OTT,65,4,20,24
W,Brock McGinn,W,PIT,74,11,13,24
D,Marcus Pettersson,D,PIT,78,3,21,24
W,Andrei Kuzmenko,W,VAN,65,8,16,24
W,Mason Appleton,W,WPG,75,10,14,24
D,Matt Grzelcyk,D,BOS,66,5,18,23
C,Sam Lafferty,C,CHI,69,8,15,23
W,Logan O'Connor,W,COL,75,10,13,23
D,Bowen Byram,D,COL,51,6,17,23
C,Kent Johnson,C,CBJ,65,8,15,23
D,Jake Bean,D,CBJ,62,5,18,23
W,Nick Cousins,W,FLA,77,9,14,23
D,Alex Goligoski,D,MIN,80,4,19,23
W,Colton Sissons,W,NSH,78,11,12,23
W,Zach Sanford,W,NSH,78,11,12,23
D,Ryan Lindgren,D,NYR,78,3,20,23
C,Morgan Frost,C,PHI,70,6,17,23
D,Ian Cole,D,TB,79,4,19,23
C,Adam Gaudette,C,TOR,65,8,15,23
C,Marcus Johansson,C,WAS,74,8,15,23
D,Erik Gustafsson,D,WAS,71,5,18,23
W,Vinnie Hinostroza,W,BUF,72,8,14,22
D,Oliver Kylington,D,CGY,66,6,16,22
W,Kirill Marchenko,W,CBJ,65,8,14,22
C,Radek Faksa,C,DAL,80,10,12,22
D,Esa Lindell,D,DAL,81,6,16,22
C,Oskar Sundqvist,C,DET,69,9,13,22
C,Ryan McLeod,C,EDM,72,9,13,22
C,Quinton Byfield,C,LAK,65,10,12,22
D,Adam Pelech,D,NYI,75,5,17,22
W,Danton Heinen,W,PIT,78,9,13,22
C,David Kampf,C,TOR,82,7,15,22
C,Adam Lowry,C,WPG,76,10,12,22
D,Brenden Dillon,D,WPG,81,3,19,22
W,Zack Kassian,W,ARI,69,9,12,21
C,Tomas Nosek,C,BOS,76,9,12,21
C,Derek Ryan,C,EDM,78,7,14,21
D,Sean Durzi,D,LAK,65,2,19,21
C,Jake Evans,C,MTL,67,9,12,21
D,Joel Edmundson,D,MTL,70,5,16,21
D,Ryan McDonagh,D,NSH,75,5,16,21
D,Dante Fabbro,D,NSH,75,4,17,21
W,Austin Watson,W,OTT,71,10,11,21
D,Artem Zub,D,OTT,66,5,16,21
C,Noel Acciari,C,STL,66,11,10,21
C,Pierre-Edouard Bellemare,C,TB,81,10,11,21
W,Patrick Maroon,W,TB,80,9,12,21
W,Nicolas Aube-Kubel,W,TOR,73,8,13,21
D,Nick Jensen,D,WAS,80,3,18,21
W,Sam Gagner,W,WPG,74,7,14,21
W,Christian Fischer,W,ARI,73,10,10,20
C,Rasmus Asplund,C,BUF,70,8,12,20
D,Ben Chiarot,D,DET,77,5,15,20
C,Mattias Janmark,C,EDM,77,8,12,20
C,Blake Lizotte,C,LAK,76,6,14,20
D,Matt Roy,D,LAK,77,4,16,20
C,Marco Rossi,C,MIN,70,7,13,20
W,Yakov Trenin,W,NSH,78,11,9,20
W,Miles Wood,W,NJD,66,10,10,20
D,Brian Dumoulin,D,PIT,70,3,17,20
C,Nico Sturm,C,SJ,70,10,10,20
C,Jason Dickinson,C,VAN,76,8,12,20
C,Brett Howden,C,VGK,77,8,12,20
C,Connor McMichael,C,WAS,70,10,10,20
C,Morgan Barron,C,WPG,70,10,10,20
W,Jack Quinn,W,BUF,54,6,13,19
W,Riley Sheahan,W,BUF,70,8,11,19
W,Milan Lucic,W,CGY,82,7,12,19
C,Jordan Martinook,C,CAR,70,8,11,19
W,Mackenzie Entwistle,W,CHI,65,7,12,19
D,Connor Murphy,D,CHI,74,4,15,19
D,Erik Johnson,D,COL,69,5,14,19
C,Michael Rasmussen,C,DET,65,9,10,19
D,Sean Walker,D,LAK,65,5,14,19
C,Tyson Jost,C,MIN,81,8,11,19
W,Brandon Duhaime,W,MIN,70,7,12,19
W,Nathan Bastian,W,NJD,70,9,10,19
D,Scott Mayfield,D,NYI,77,4,15,19
D,Mario Ferraro,D,SJ,76,2,17,19
D,Adam Larsson,D,SEA,78,4,15,19
D,Erik Cernak,D,TB,74,5,14,19
D,Tyler Myers,D,VAN,81,5,14,19
W,Keegan Kolesar,W,VGK,75,4,15,19
C,Nick Bjugstad,C,ARI,63,8,10,18
W,Michael Carcone,W,ARI,60,12,6,18
D,Troy Stecher,D,ARI,69,3,15,18
W,Nick Foligno,W,BOS,76,8,10,18
W,Anders Bjork,W,BUF,73,8,10,18
D,Brett Kulak,D,EDM,75,4,14,18
W,Colin White,W,FLA,67,6,12,18
D,Marc Staal,D,FLA,70,4,14,18
W,Brendan Lemieux,W,LAK,72,9,9,18
C,Casey Cizikas,C,NYI,76,8,10,18
D,Sebastian Aho D,D,NYI,45,4,14,18
D,Cam York,D,PHI,65,5,13,18
W,Matt Nieto,W,SJ,74,8,10,18
W,Klim Kostin,W,STL,50,8,10,18
C,Curtis Lazar,C,VAN,72,8,10,18
W,Vasily Podkolzin,W,VAN,57,9,9,18
D,Nicolas Hague,D,VGK,69,4,14,18
W,Carl Hagelin,W,WAS,50,7,11,18
W,Sam Carrick,W,ANA,58,9,8,17
D,Dysin Mayo,D,ARI,70,5,12,17
D,Brandon Carlo,D,BOS,75,5,12,17
C,Zemgus Girgensons,C,BUF,66,7,10,17
D,Nikita Zadorov,D,CGY,79,4,13,17
W,Ondrej Kase,W,CAR,50,8,9,17
W,Taylor Raddysh,W,CHI,60,7,10,17
W,Philipp Kurashev,W,CHI,65,7,10,17
D,Jake McCabe,D,CHI,57,3,14,17
C,Darren Helm,C,COL,77,8,9,17
W,Joel Kiviranta,W,DAL,65,6,11,17
C,Filip Zadina,C,DET,71,6,11,17
W,Devin Shore,W,EDM,67,7,10,17
C,Sam Steel,C,MIN,75,7,10,17
W,Paul Byron,W,MTL,61,8,9,17
C,Michael Mcleod,C,NJD,69,7,10,17
D,Brendan Smith,D,NJD,72,4,13,17
D,Zac Jones,D,NYR,75,6,11,17
W,Jayce Hawryluk,W,OTT,65,7,10,17
W,Scott Sabourin,W,OTT,65,4,13,17
D,Travis Hamonic,D,OTT,67,4,13,17
D,Erik Brannstrom,D,OTT,63,1,16,17
D,Jan Rutta,D,PIT,69,3,14,17
W,Noah Gregor,W,SJ,65,8,9,17
C,William Eklund,C,SJ,56,6,11,17
D,Marc-Edouard Vlasic,D,SJ,80,4,13,17
C,Morgan Geekie,C,SEA,63,6,11,17
D,Jamie Oleksiak,D,SEA,80,5,12,17
W,Nils Hoglander,W,VAN,64,9,8,17
D,Brayden McNabb,D,VGK,77,3,14,17
D,Zach Whitecloud,D,VGK,66,4,13,17
D,Martin Fehervary,D,WAS,75,7,10,17
D,J.J. Moser,D,ARI,50,4,12,16
W,Kevin Rooney,W,CGY,73,7,9,16
C,Derek Stepan,C,CAR,60,5,11,16
C,Jujhar Khaira,C,CHI,70,7,9,16
D,Caleb Jones,D,CHI,66,5,11,16
D,Colin Miller,D,DAL,55,3,13,16
C,Eetu Luostarinen,C,FLA,67,6,10,16
W,Ryan Lomberg,W,FLA,59,8,8,16
D,Radko Gudas,D,FLA,79,3,13,16
D,Jordan Spence,D,LAK,47,5,11,16
W,Ryan Reaves,W,NYR,76,7,9,16
D,Braden Schneider,D,NYR,56,3,13,16
D,Nikita Zaitsev,D,OTT,75,3,13,16
W,Nicolas Deslauriers,W,PHI,78,8,8,16
C,Patrick Brown,C,PHI,70,8,8,16
W,Nathan Walker,W,STL,49,10,6,16
D,Niko Mikkola,D,STL,76,3,13,16
D,Philippe Myers,D,TB,65,3,13,16
W,Wayne Simmonds,W,TOR,75,7,9,16
W,Nicholas Robertson,W,TOR,50,6,10,15
D,Ethan Bear,D,CAR,75,4,11,15
D,Ian Mitchell,D,CHI,60,6,9,15
C,Luke Glendening,C,DAL,80,7,8,15
D,Olli Maatta,D,DET,75,4,11,15
D,Gustav Lindstrom,D,DET,70,1,14,15
W,Carl Grundstrom,W,LAK,63,9,6,15
D,David Savard,D,MTL,77,3,12,15
W,Cal Clutterbuck,W,NYI,70,6,9,15
W,Dryden Hunt,W,NYR,76,4,11,15
W,Noah Cates,W,PHI,70,6,9,15
D,Justin Braun,D,PHI,75,2,13,15
D,Markus Nutivaara,D,SJ,54,3,12,15
W,Garnet Hathaway,W,WAS,50,7,8,15
D,Trevor van Riemsdyk,D,WAS,69,3,12,14
C,Trent Frederic,C,BOS,62,7,7,14
D,Mike Reilly,D,BOS,60,2,12,14
D,Mattias Samuelsson,D,BUF,65,5,9,14
W,Trevor Lewis,W,CGY,79,6,8,14
W,Ben Meyers,W,COL,60,5,9,14
W,Jacob Peterson,W,DAL,60,10,4,14
W,Adam Erne,W,DET,76,6,8,14
D,Philip Broberg,D,EDM,55,4,10,14
C,Gabriel Vilardi,C,LAK,40,5,9,14
D,Jacob Middleton,D,MIN,70,4,10,14
D,Justin Barron,D,MTL,65,6,8,14
C,Cody Glass,C,NSH,56,5,9,14
D,K'Andre Miller,D,NYR,68,5,9,14
D,Nick Holden,D,OTT,71,4,10,14
D,Jake Sanderson,D,OTT,41,4,10,14
W,Bobby Brink,W,PHI,45,5,9,14
