All Players   Projections Standard Categories
Avail,Player,GP,G,A,PTS,+/-,PIM,PPG,SHG,SOG,FPTS,
G' Stars,Cutter Gauthier W | ANA ,80.6,43.55,35.67,79.22,13.88,27.43,15.61,0,303.36,205.46
W ,Alex Ovechkin W | WAS ,80.6,42.8,37.42,80.22,-0.08,25.41,18.58,0,269.26,203.22
The Inglorious Basteeerds,Dylan Larkin C | DET ,80.6,39.42,40.63,80.05,-3.27,52.75,14.32,0.56,254.86,199.82
The Inglorious Basteeerds,Evgeni Malkin C | PIT,80.6,29.66,55.27,84.93,-0.14,81.51,17.03,0,194.68,199.49
LIP's Lasers,Jesper Bratt W | NJ ,80.6,25.57,59.68,85.25,-2.08,13.29,15.13,1.18,216.67,197.91
The Inglorious Basteeerds,Adrian Kempe W | LA,80.6,37.8,41.7,79.5,-7.94,61.06,12.07,1.11,253.1,197.03
The Pylons,Leo Carlsson C | ANA ,80.6,34.33,43.72,78.05,13.88,26.63,12.69,1.39,218.9,196.68
W ,Bryan Rust W | PIT ,80.6,37.23,41.47,78.7,-0.36,31.54,14.55,0.84,225.16,196.22
G' Stars,Lucas Raymond W | DET,80.6,29.7,53.48,83.18,-1.78,24.84,14.48,0.08,179.12,195.78
LIP's Lasers,Drake Batherson W | OTT ,80.6,37.02,42.75,79.77,-4.54,38.38,17.26,0,204.5,195.43
W ,Nick Schmaltz C | UTA,80.6,32.5,47.06,79.56,2.72,20.87,15.07,0.75,199.33,193.80
3sheets Sports Entertainment,Nikolaj Ehlers W | CAR,80.6,32.46,47.74,80.2,-0.78,18.61,15.73,0,278.85,192.67
The Inglorious Basteeerds,Travis Konecny W | PHI,80.6,31,47.3,78.3,5.81,75.81,11.95,1.7,191.98,192.45
re-degeneration X 2.0,Mikael Granlund C | ANA,80.6,30.71,47.87,78.58,13.88,28.39,14.93,0.25,171.16,191.84
Shazam!!!,Zach Hyman W | EDM,80.6,47.05,25.62,72.67,-2.78,40.47,10.41,0,272.72,191.69
W ,Bo Horvat C | NYI ,80.6,39.17,35.55,74.72,5.29,42.43,12.74,0.84,267.01,191.61
The Inglorious Basteeerds,J.T. Miller C | NYR ,80.6,28.02,53.34,81.36,-6.81,47.8,17.83,1.04,162.24,191.12
LIP's Lasers,Rasmus Dahlin D | BUF,80.6,23.09,60.79,83.88,-1.25,78.05,18.83,0.08,231.5,190.70
The Inglorious Basteeerds,Steven Stamkos C | NSH,80.6,44.13,29.67,73.8,-5.39,49.62,15.58,0,210.23,190.38
W ,Nico Hischier C | NJ ,80.6,34.75,42.23,76.98,0.02,25.11,15.12,0.66,235.92,190.03
The Inglorious Basteeerds,Mathew Barzal C | NYI ,80.6,23.03,59.65,82.68,4.85,55.86,16.63,0,206.74,189.60
W ,Tom Wilson W | WAS,80.6,36.95,37.26,74.21,2.22,137.31,12.02,1.11,184.65,188.15
The Pylons,John Tavares C | TOR,80.6,35.28,41.35,76.63,-6.37,33.82,15.59,0.29,191.38,187.53
W ,Brayden Point C | TB ,80.6,35.45,41.06,76.51,-4.56,15.52,14.05,0,198.23,187.33
W ,Ryan O'Reilly C | NSH,80.6,28.28,49.46,77.74,5.79,21.49,12.48,0.99,158.27,187.19
W ,Mika Zibanejad C | NYR,80.6,31.59,45.6,77.19,-13.30,19.14,18.59,2.07,190.07,186.78
W ,Vincent Trocheck C | UTA ,80.6,27.62,50.21,77.83,-4.09,69.57,12.97,1.95,168.05,186.16
G' Stars,Will Smith C | SJ ,80.6,31.94,44.03,75.97,8.59,19.77,13.11,0,162.35,186.03
W ,Alex Tuch W | WAS,80.6,35.16,36.38,71.54,9.11,51.04,7.32,2.55,217.11,185.62
3sheets Sports Entertainment,Andrei Svechnikov W | CAR,80.6,32.78,42.92,75.7,-0.78,80.68,17.22,0,289.96,183.99
New Oilers Nation,Jordan Kyrou W | WAS,80.6,33.84,39.49,73.33,8.32,18.6,14.77,0,225.95,182.58
Jeff's Jackass's,Carter Verhaeghe W | FLA ,80.6,33.53,41.28,74.81,-3.09,33.48,9.89,0,249.29,182.38
W ,Brock Nelson C | COL,80.6,36.45,35.31,71.76,1.15,38.78,13.43,0.83,247.99,181.92
W ,Dylan Strome C | WAS ,80.6,27.14,49.51,76.65,0.09,40.28,19.86,0,156.28,180.46
LIP's Lasers,Logan Cooley C | UTA ,80.6,35.27,34.5,69.77,6.22,40.62,11.7,0.97,168.73,178.31
New Oilers Nation,Kirill Marchenko W | CLB,80.6,31.43,40.69,72.12,7.70,29.7,18.12,0.31,226.6,178.22
LIP's Lasers,Morgan Geekie C | BOS,80.6,39.27,29.73,69,1.09,27.28,12.68,0,160.31,177.54
New Oilers Nation,Lane Hutson D | MON ,80.6,12.18,68.54,80.72,9.18,35.5,16.2,0,111.57,175.91
South Calgary Oilers,Sam Bennett C | FLA ,80.6,34.34,36.47,70.81,-3.09,85.77,8.81,0,247.39,175.19
The Pylons,Juraj Slafkovsky W | MON ,80.6,30.25,41.03,71.28,8.40,50,15.34,0,159.64,174.91
South Calgary Oilers,Connor Bedard C | CHI ,64.3,28.05,43.94,71.99,0.60,45.16,14.11,0,164.6,172.18
W ,Matt Duchene C | DAL ,80.6,26.7,46.37,73.07,-5.77,19.38,13.29,0,137.95,171.40
The Dook of Sook,Porter Martone W | PHI,80.6,28.67,43.16,71.83,-4.33,40.16,22.88,0,232.91,171.25
3sheets Sports Entertainment,Roman Josi D | NSH,80.6,19.09,56.21,75.3,-2.92,35.96,17.45,0.08,226.09,169.12
W ,Jared McCann W | SEA,80.6,31.25,36.45,67.7,3.74,23.62,13.15,0.39,183.72,168.37
W ,Rickard Rakell W | PIT,80.6,32.61,34,66.61,1.45,16.01,12.18,0.75,221.27,167.69
W ,Pavel Zacha C | BOS ,80.6,28.89,40.12,69.01,0.27,26.41,12.23,0.31,132.72,167.60
re-degeneration X 2.0,William Eklund W | OTT,80.6,21.72,48.97,70.69,13.02,35.22,11.97,0.51,163.92,167.38
W ,Roope Hintz C | DAL,80.6,28.38,40.69,69.07,-5.77,33.29,13.31,0.71,176.63,166.50
G' Stars,Gabriel Vilardi C | WPG ,80.6,32.12,36.8,68.92,-15.55,25.18,15.65,0,153.59,166.07
W ,Jaden Schwartz W | COL ,80.6,29.89,34.36,64.25,21.31,21.55,7.35,0.6,191.27,164.92
W ,Joel Eriksson Ek C | MIN ,80.6,28.76,38.49,67.25,4.07,45.52,11.39,0.08,251.73,164.44
G' Stars,Ryan Nugent-Hopkins W | EDM,80.6,24.71,44.7,69.41,-3.05,26.59,16.1,0.8,182.57,164.37
W ,Tomas Hertl C | LV,80.6,30.4,36.56,66.96,-0.98,35.65,16.58,0.08,213.2,164.23
South Calgary Oilers,Adam Fox D | NYR,80.6,14.13,61,75.13,-9.03,34.5,17.76,0.97,127.69,164.07
W ,Blake Coleman W | MIN ,80.6,32.13,28.38,60.51,14.35,49.5,2.25,3.14,208.5,163.02
The Dook of Sook,Matthew Schaefer D | NYI,80.6,26.5,40.62,67.12,5.29,40.7,14.14,0,234.88,162.06
South Calgary Oilers,Trevor Zegras C | PHI ,80.6,26.46,41.13,67.59,1.60,70.86,16.54,0,154.43,162.04
The Inglorious Basteeerds,Beckett Sennecke W | ANA ,80.6,28,36.68,64.68,2.92,57.9,9.51,0.95,230.95,159.99
W ,Shayne Gostisbehere D | CAR,80.6,17.01,54.52,71.53,-0.78,40.13,20.12,0,199.43,159.88
G' Stars,Alexei Protas W | WAS,80.6,28.26,34.83,63.09,7.10,19.26,0.72,1.71,160.97,159.63
W ,Chris Kreider W | MON ,80.6,31.06,31.25,62.31,0.16,31.51,11.87,1.28,192.91,158.28
W ,Kevin Fiala W | LA ,80.6,31.15,34.47,65.62,-17.52,51.95,17.56,0,246.14,158.01
The Pylons,Erik Karlsson D | PIT,80.6,16.19,54.04,70.23,3.69,35.5,15.5,0,201.97,157.57
W ,Patrick Kane W | CHI ,80.6,22.17,45.42,67.59,-0.99,21.93,12.68,0,187.86,157.10
W ,Artturi Lehkonen W | COL,80.6,30.91,30.94,61.85,1.15,26.5,5.44,0.46,232.41,155.82
3sheets Sports Entertainment,John Carlson D | TB ,80.6,13.81,55.18,68.99,6.17,44.91,11.9,0.33,184.23,153.99
W ,Jakob Chychrun D | WAS,80.6,27.15,36.09,63.24,0.60,62.13,14.08,0,225.45,153.78
New Oilers Nation,Matthew Knies W | TOR,80.6,25.56,38.51,64.07,-8.99,36.98,9.71,0.41,126.84,152.27
W ,Troy Terry W | ANA ,61.4,21.9,40.46,62.36,10.26,13.66,8.38,1.18,167.98,151.55
South Calgary Oilers,Dylan Holloway W | STL,80.6,28.53,33.35,61.88,-3.31,29.59,6.97,0,186.66,151.46
The Pylons,Jimmy Snuggerud W | STL,80.6,26.13,35.58,61.71,5.71,20.84,7.69,0,186.85,150.98
The Pylons,Jackson Blake W | CAR,80.6,26.01,36.55,62.56,-0.78,52.34,7.43,0,236.16,150.94
W ,Ivan Barbashev W | LV,80.6,25.86,36.27,62.13,1.00,24.24,3.1,0,146.63,150.37
Jeff's Jackass's,Elias Pettersson C | VAN,80.6,21.39,42.85,64.24,-2.86,18.65,13.6,0.53,146.49,150.22
W ,Mats Zuccarello W | LA ,80.6,18.57,48.59,67.16,-13.22,28.64,15.36,0,174.91,149.59
W ,Tyler Toffoli C | SJ,80.6,28.64,30.72,59.36,8.59,12.73,10.39,0,179.47,149.51
Shazam!!!,Dylan Cozens C | OTT ,80.6,27.79,33.1,60.89,-4.54,57.85,14.15,0.42,230.43,149.28
W ,William Karlsson C | LV ,80.6,26.49,32.8,59.29,2.23,21.53,6.26,1.82,185.32,149.27
Jeff's Jackass's,Josh Norris C | BUF,80.6,27.55,32.93,60.48,-2.92,47.93,11.67,0.67,150.64,149.12
W ,Taylor Hall W | CAR,80.6,24.08,38.33,62.41,-0.58,45.31,5.73,0,212.12,148.75
W ,Tyler Seguin C | DAL ,80.6,27.92,32.46,60.38,-5.77,21.57,5.71,0.59,143.13,148.42
South Calgary Oilers,Adam Fantilli C | CLB ,80.6,27.59,32.64,60.23,-1.99,34.16,8.64,0.21,212.31,147.97
W ,Boone Jenner C | WAS ,80.6,24.33,34.83,59.16,13.70,56.31,5.94,0.87,178.96,147.81
W ,Kyle Palmieri W | NYI ,80.6,27.48,31.84,59.32,-0.02,29.56,12.61,0.74,203.51,147.59
3sheets Sports Entertainment,Jake Sanderson D | OTT ,80.6,16.14,48.52,64.66,4.54,14.48,14.37,0.46,202.35,147.51
W ,Anthony Cirelli C | TB,80.6,26.33,32.15,58.48,-4.56,46.65,3.14,2.22,150.51,146.59
W ,Elias Lindholm C | BOS,80.6,23.18,37.07,60.25,5.53,36.42,14.26,0.7,144.31,146.46
Jeff's Jackass's,Shane Pinto C | OTT,80.6,28.2,28.19,56.39,2.28,43.75,3.38,2.42,204.29,146.39
W ,Mikhail Sergachev D | UTA,80.6,12.17,54.16,66.33,-2.07,41.94,16.7,0.86,164.49,146.03
