,,OWNER,Winner,,Pylons,Basteerds,Dook,Socal,Shaz,NoN,Lips,G' Stars,Dooms,Cin,3sheets,Hawt,MAX,,UPDATE,STATUS,BY,
4.12,Owen Tippett W | PHI,G' Stars,$4,,,2,,,2,,,,2,3,,,$3,,RFA matched,DONE,MW,
5.1,pass,,,,,,,,2,,,,,0,,,$2,,RFA matched,DONE,MW,
5.2,pass,,,,,,,,0,4,,,,3,,,$4,,RFA matched,DONE,MW,
5.3,Gabriel Vilardi C | WPG,G' Stars,$4,,,,,,NA,,,,,,,,$0,,DROP,DONE,MW,
5.6,Thomas Harley D | DAL,Doomsday Machine,$6,,,,,,0,2,,,,,3,,$3,,RFA decline,DONE,MW,
5.10,Matias Maccelli W | UTA,CinStars,$3,,,,,,NA,,,,,,,,$0,,DROP,DONE,MW,
5.11,Yaroslav Askarov G | SJ,The Dook of Sook,$0,,,,,,,,,,,,,,$0,,,,,
5.12,pass,,,,,,,,,,,,,,,,$0,,,,,
6.0,Shane Pinto C | OTT,CinStars,$3,,,,,,,,,,,,,,$0,,,,,
6.1,Josh Norris C | OTT,CinStars,$3,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
6.2,Simon Edvinsson D | DET,The Dook of Sook,$2,,,,,,,,,,,,,,$0,,,,,
6.3,Logan Stankoven C | DAL,Doomsday Machine,$3,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
6.4,Yegor Sharangovich W | CGY,The Dook of Sook,$4,,,,,,,,,,,,,,$0,,,,,
6.5,Brandt Clarke D | LA,The Pylons,$3,,,,,,,,,,,,,,$0,,,,,
6.6,Joel Farabee W | PHI,CinStars,$2,,,,,,,,,,,,,,$0,,,,,
6.7,William Eklund W | SJ,The Pylons,$3,,,,,,,,,,,,,,$0,,,,,
6.8,,,,,,,,,,,,,,,,,$0,,,,,
6.9,,,,,,,,,,,,,,,,,$0,,,,,
7.0,,,,,,,,,,,,,,,,,$0,,,,,
7.1,,,,,,,,,,,,,,,,,$0,,,,,
7.2,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,$0,,,,,
