3sheets Sports Entertainment Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
D,Sam Dickinson D | SJ ,"LV 10/09 10:00pm ET","Home: 2 (LV,ANA)
Away: 0 ",,0%,0%,0,2,1,0.0,0.0,0.0
CinStars Goalies
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
G,Linus Ullmark G | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",137,0%,0%,6,1,,144.6,178.7,140.8
Reserves
Injured
Active: 9 Reserve: 5 Injured: 5 Active salary: 54.00 Total salary: 92.00 Total Rookie: 2.00
G' Stars Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Nick Suzuki C | MON ,"@TOR 10/08  7:00pm ET","Home: 0 
Away: 3 (@TOR,@DET,@CHI)",24,100%,100%,7,1,,216.8,192.5,210.6
C,Gabriel Vilardi C | WPG ,"DAL 10/09  8:00pm ET","Home: 2 (DAL,LA)
Away: 0 ",78,100%,0%,4,2,,151.2,119.5,165.6
W,Matt Boldy W | MIN ,"@STL 10/09  8:00pm ET","Home: 1 (CLB)
Away: 1 (@STL)",37,100%,0%,5,1,,176.2,168.5,188.8
W,Martin Necas W | COL ,"@LA 10/07 10:30pm ET","Home: 2 (UTA,DAL)
Away: 1 (@LA)",67,100%,100%,7,1,,194.2,164.0,170.8
F,Dylan Guenther W | UTA ,"@COL 10/09  9:00pm ET","Home: 0 
Away: 2 (@COL,@NSH)",72,100%,0%,2,2,,146.0,90.2,169.4
F,Ryan Nugent-Hopkins W | EDM ,"CGY 10/08 10:00pm ET","Home: 2 (CGY,VAN)
Away: 0 ",129,100%,0%,6,2,,123.0,176.2,143.4
F,Lucas Raymond W | DET ,"MON 10/09  7:00pm ET","Home: 2 (MON,TOR)
Away: 0 ",61,100%,0%,2,0,,187.2,155.5,174.2
D,Sean Durzi D | UTA ,"@COL 10/09  9:00pm ET","Home: 0 
Away: 2 (@COL,@NSH)",340,0%,0%,4,1,,42.0,103.5,86.6
D,Jackson LaCombe D | ANA ,"@SEA 10/09 10:00pm ET","Home: 0 
Away: 2 (@SEA,@SJ)",360,100%,100%,2,0,,157.0,68.2,83.4
D,Brandon Montour D | SEA ,"ANA 10/09 10:00pm ET","Home: 2 (ANA,LV)
Away: 0 ",301,100%,100%,9,1,,153.5,174.2,94.1
Reserves
F,Jake DeBrusk W | VAN ,"CGY 10/09 10:00pm ET","Home: 1 (CGY)
Away: 1 (@EDM)",219,0%,0%,2,1,,122.2,122.2,114.8
F,Jack Quinn W | BUF ,"NYR 10/09  7:00pm ET","Home: 1 (NYR)
Away: 1 (@BOS)",246,100%,100%,2,0,,90.5,77.0,107.7
F,Owen Tippett W | PHI ,"@FLA 10/09  7:00pm ET","Home: 0 
Away: 2 (@FLA,@CAR)",160,0%,0%,4,2,,106.0,119.5,132.1
D,Dougie Hamilton D | NJ ,"@CAR 10/09  7:00pm ET","Home: 0 
Away: 2 (@CAR,@TB)",213,0%,0%,12,2,,141.0,155.0,117.0
D,Janis Moser D | TB ,"OTT 10/09  7:00pm ET","Home: 2 (OTT,NJ)
Away: 0 ",510,0%,0%,3,0,,53.0,82.2,58.5
Injured
C,2025 Draft Pick G C |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
C,2025 Draft Pick G C |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
C,Frank Nazar C | CHI ,"@FLA 10/07  5:00pm ET","Home: 1 (MON)
Away: 2 (@FLA,@BOS)",287,0%,0%,2,3,,64.2,35.2,96.7
C,Will Smith C | SJ ,"LV 10/09 10:00pm ET","Home: 2 (LV,ANA)
Away: 0 ",176,0%,0%,0,1,1,105.2,105.5,125.6
F,2027 Draft Pick G F |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
F,Cutter Gauthier W | ANA ,"@SEA 10/09 10:00pm ET","Home: 0 
Away: 2 (@SEA,@SJ)",221,0%,0%,2,3,,110.0,57.2,114.5
D,Artyom Levshunov D | CHI ,"@FLA 10/07  5:00pm ET","Home: 1 (MON)
Away: 2 (@FLA,@BOS)",566,0%,0%,0,2,1,14.8,15.0,52.2
G' Stars Goalies
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
Reserves
Injured
Active: 10 Reserve: 5 Injured: 7 Active salary: 48.00 Total salary: 75.00 Total Rookie: 2.00
HawtSawwce Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Nico Hischier C | NJ ,"@CAR 10/09  7:00pm ET","Home: 0 
Away: 2 (@CAR,@TB)",38,100%,100%,8,1,,175.2,180.0,188.7
