team_id,strength,player_a,player_b,seconds,pos_a,pos_b,unit_type
1,EV,8474090,8475193,11561,D,L,mixed
1,EV,8474090,8475287,15018,D,L,mixed
1,EV,8474090,8476292,5083,D,L,mixed
1,EV,8474090,8476462,5362,D,D,DD
1,EV,8474090,8476923,25247,D,D,DD
1,EV,8474090,8477341,73,D,L,mixed
1,EV,8474090,8477425,12194,D,L,mixed
1,EV,8474090,8477435,2640,D,D,DD
1,EV,8474090,8477508,489,D,C,mixed
1,EV,8474090,8477970,23574,D,G,mixed
1,EV,8474090,8478399,3847,D,D,DD
1,EV,8474090,8478406,10550,D,G,mixed
1,EV,8474090,8478414,1653,D,R,mixed
1,EV,8474090,8478507,2651,D,D,DD
1,EV,8474090,8479407,12133,D,L,mixed
1,EV,8474090,8479414,4809,D,R,mixed
1,EV,8474090,8479415,11637,D,C,mixed
1,EV,8474090,8480002,9715,D,C,mixed
1,EV,8474090,8480003,9094,D,C,mixed
1,EV,8474090,8480188,7940,D,L,mixed
1,EV,8474090,8480860,4049,D,D,DD
1,EV,8474090,8481033,7324,D,G,mixed
1,EV,8474090,8481068,10385,D,C,mixed
1,EV,8474090,8481518,612,D,L,mixed
1,EV,8474090,8481537,4187,D,D,DD
1,EV,8474090,8481559,15146,D,C,mixed
1,EV,8474090,8481740,471,D,R,mixed
1,EV,8474090,8482110,13487,D,C,mixed
1,EV,8474090,8482125,2275,D,R,mixed
1,EV,8474090,8482684,416,D,D,DD
1,EV,8475193,8475193,20,L,L,FF
1,EV,8475193,8475287,12678,L,L,FF
1,EV,8475193,8476292,3315,L,L,FF
1,EV,8475193,8476462,23613,L,D,mixed
1,EV,8475193,8476923,19386,L,D,mixed
1,EV,8475193,8477425,2814,L,L,FF
1,EV,8475193,8477435,23452,L,D,mixed
1,EV,8475193,8477508,12,L,C,FF
1,EV,8475193,8477970,31195,L,G,mixed
1,EV,8475193,8478399,20505,L,D,mixed
1,EV,8475193,8478406,12824,L,G,mixed
1,EV,8475193,8478414,215,L,R,FF
1,EV,8475193,8478507,20927,L,D,mixed
1,EV,8475193,8479407,11563,L,L,FF
1,EV,8475193,8479414,1045,L,R,FF
1,EV,8475193,8479415,2302,L,C,FF
1,EV,8475193,8480002,37593,L,C,FF
1,EV,8475193,8480003,5568,L,C,FF
1,EV,8475193,8480188,12078,L,L,FF
1,EV,8475193,8480860,6905,L,D,mixed
1,EV,8475193,8481033,10451,L,G,mixed
1,EV,8475193,8481068,3080,L,C,FF
1,EV,8475193,8481518,27,L,L,FF
1,EV,8475193,8481537,1634,L,D,mixed
1,EV,8475193,8481559,12850,L,C,FF
1,EV,8475193,8481740,11,L,R,FF
1,EV,8475193,8482110,22063,L,C,FF
1,EV,8475193,8482125,1240,L,R,FF
1,EV,8475193,8482684,479,L,D,mixed
1,EV,8475287,8475287,171,L,L,FF
1,EV,8475287,8476292,10052,L,L,FF
1,EV,8475287,8476462,21294,L,D,mixed
1,EV,8475287,8476923,23085,L,D,mixed
1,EV,8475287,8477425,6367,L,L,FF
1,EV,8475287,8477435,17702,L,D,mixed
1,EV,8475287,8477508,159,L,C,FF
1,EV,8475287,8477970,30605,L,G,mixed
1,EV,8475287,8478399,20359,L,D,mixed
1,EV,8475287,8478406,11604,L,G,mixed
1,EV,8475287,8478414,3781,L,R,FF
1,EV,8475287,8478507,15386,L,D,mixed
1,EV,8475287,8479407,15450,L,L,FF
1,EV,8475287,8479414,1196,L,R,FF
1,EV,8475287,8479415,1551,L,C,FF
1,EV,8475287,8480002,1551,L,C,FF
1,EV,8475287,8480003,10145,L,C,FF
1,EV,8475287,8480188,6284,L,L,FF
1,EV,8475287,8480860,8544,L,D,mixed
1,EV,8475287,8481033,9298,L,G,mixed
1,EV,8475287,8481068,7181,L,C,FF
1,EV,8475287,8481518,713,L,L,FF
1,EV,8475287,8481537,1668,L,D,mixed
1,EV,8475287,8481559,28247,L,C,FF
1,EV,8475287,8482110,16179,L,C,FF
1,EV,8475287,8482125,726,L,R,FF
1,EV,8475287,8482684,302,L,D,mixed
1,EV,8476292,8476462,16395,L,D,mixed
1,EV,8476292,8476923,14324,L,D,mixed
1,EV,8476292,8477425,269,L,L,FF
1,EV,8476292,8477435,12608,L,D,mixed
1,EV,8476292,8477508,88,L,C,FF
1,EV,8476292,8477970,17885,L,G,mixed
1,EV,8476292,8478399,13995,L,D,mixed
1,EV,8476292,8478406,10047,L,G,mixed
1,EV,8476292,8478414,241,L,R,FF
1,EV,8476292,8478507,8397,L,D,mixed
1,EV,8476292,8479407,21711,L,L,FF
1,EV,8476292,8479414,783,L,R,FF
1,EV,8476292,8479415,1147,L,C,FF
1,EV,8476292,8480002,14763,L,C,FF
1,EV,8476292,8480003,7565,L,C,FF
1,EV,8476292,8480188,2152,L,L,FF
1,EV,8476292,8480860,6807,L,D,mixed
1,EV,8476292,8481033,4488,L,G,mixed
1,EV,8476292,8481068,529,L,C,FF
1,EV,8476292,8481518,31,L,L,FF
1,EV,8476292,8481537,1015,L,D,mixed
1,EV,8476292,8481559,11355,L,C,FF
1,EV,8476292,8482110,4761,L,C,FF
1,EV,8476292,8482125,514,L,R,FF
1,EV,8476292,8482684,85,L,D,mixed
