team_id,pairs_EV__gini,pairs_PP__gini,pairs_SH__gini,trios_EV__gini,trios_PP__gini,trios_SH__gini,pairs_EV__hhi,pairs_PP__hhi,pairs_SH__hhi,trios_EV__hhi,trios_PP__hhi,trios_SH__hhi,pairs_EV__pair_dd_share,pairs_PP__pair_dd_share,pairs_SH__pair_dd_share,pairs_EV__pair_ff_share,pairs_PP__pair_ff_share,pairs_SH__pair_ff_share,pairs_EV__share_top_1,pairs_PP__share_top_1,pairs_SH__share_top_1,trios_EV__share_top_1,trios_PP__share_top_1,trios_SH__share_top_1,pairs_EV__share_top_3,pairs_PP__share_top_3,pairs_SH__share_top_3,trios_EV__share_top_3,trios_PP__share_top_3,trios_SH__share_top_3,pairs_EV__share_top_5,pairs_PP__share_top_5,pairs_SH__share_top_5,trios_EV__share_top_5,trios_PP__share_top_5,trios_SH__share_top_5,trios_EV__trio_fwd_share,trios_PP__trio_fwd_share,trios_SH__trio_fwd_share,deployment_cluster,full_name,tri_code
1,-0.5955448302347368,-0.6856758894796586,-0.671655653369908,-0.7035555653529666,-0.7049333757464722,-0.6559031909055879,0.005655916186849102,0.016354412382652995,0.016901222189616764,0.0014296475216337397,0.008021653012082255,0.00864404893683344,0.06946903039199506,0.017552916881775942,0.14810444320150606,0.21185394933798898,0.4793681375705869,0.15730597656303288,0.01769116961553272,0.04160435150541011,0.04161494072548191,0.00692839256058725,0.03180849045019703,0.029486943541296034,0.04512821849114182,0.11976752231370649,0.11307859159925242,0.016940599518900867,0.08936963486375764,0.08457558840970901,0.06818756930631437,0.1902932050306298,0.175204289046833,0.02545003750553783,0.13781074534230825,0.13136208412571826,0.056525095130208716,0.2701796099706418,0.0,1,New Jersey Devils,NJD
2,-0.6678314650436314,-0.6936860378672554,-0.6993333494886,-0.7370798916693807,-0.6928491629144444,-0.6568800263881671,0.005824498936966063,0.013434928154794806,0.016225668339636967,0.001421830469583921,0.006183820435806629,0.008445848950524311,0.06848284071008556,0.031010515059704154,0.14441105308296784,0.2096800798665213,0.4506012349691258,0.18391125180417942,0.016619317283779612,0.03850105360269219,0.04668902570824937,0.005368127053894324,0.029220425013924058,0.03645860429304228,0.04685692248360972,0.1076771467810079,0.11000787912172197,0.015277285866923519,0.06480285256575888,0.08381108949213914,0.0733900108224424,0.16181450302452116,0.16955451585237455,0.02427006328352265,0.09919671105139556,0.12461892226534456,0.05521146534020859,0.2495478269856855,0.016304404374200127,1,New York Islanders,NYI
3,-0.6297302819574091,-0.745417372989429,-0.6916041289843176,-0.7405594720134957,-0.7319445811760843,-0.6691231663805837,0.0065758185739067275,0.017791729618705253,0.020128394061735718,0.001857580334819511,0.008989020072028965,0.012992889221995487,0.06936828000533528,0.026438957818761953,0.16123287768810501,0.21261677128544948,0.4424464925853668,0.15416669634652783,0.01906049443575175,0.043603617456824055,0.05226979706098143,0.009200882147637703,0.028674332999295542,0.0384323289370942,0.051072470214511556,0.113156048476228,0.14482110166895795,0.023660145936804978,0.0785567583120839,0.10868658344832012,0.08039871007623789,0.18069504377660955,0.21602427575202832,0.03511385212104891,0.1207199341184875,0.17252297061686403,0.056222418275809996,0.239892049569885,0.0003636791494186482,1,New York Rangers,NYR
4,-0.6278067644453841,-0.6705420558854792,-0.6556917832705131,-0.7037294346852321,-0.6340006420252752,-0.6242459550736971,0.005153461570723041,0.010373097752773789,0.013880133879793545,0.0011322873445550928,0.0034387881583154106,0.006138593146448332,0.06991761390606874,0.03285894176625722,0.1515333775314228,0.20905008231662842,0.4442253320344983,0.15075421533582575,0.014613227622265084,0.024790325263132885,0.04168517746444218,0.003736574929405506,0.011798480379363492,0.026282242804501543,0.03991140832057869,0.06620257074294947,0.10774992994374996,0.01084645308105875,0.03465188081368151,0.06786176675629918,0.062182050575521744,0.10549549763596189,0.15835446412094784,0.017711226688238327,0.05378255538539569,0.09800816651727916,0.05521937664513732,0.2440749075473835,0.0016731401254855094,0,Philadelphia Flyers,PHI
5,-0.6592315993647752,-0.7390607445615365,-0.642868561811805,-0.7519396749522373,-0.7546442455888245,-0.6046181527724349,0.006126067052215975,0.016971605014454945,0.011892232301320605,0.0018278296810228304,0.008624496391082542,0.005467966383940934,0.0691319851141931,0.017114247881814326,0.14859961093375898,0.2151092026124386,0.47340908894216205,0.1560754189944134,0.021466084220549873,0.04881130622171065,0.03336991221069433,0.008665031834499496,0.029727769493785503,0.026280833164216002,0.05036783053304199,0.11461569750837322,0.09124975059856345,0.024382951332303948,0.08282240371923723,0.06558677563972475,0.07437110362435725,0.17963253048543018,0.1378940542697526,0.03762431401223596,0.12836233731715777,0.09598177222662953,0.05829656257414113,0.2720683301724021,0.0,1,Pittsburgh Penguins,PIT
6,-0.6751324081251731,-0.7282479232623202,-0.6609992497004464,-0.7547060290114999,-0.7147629719632008,-0.6250746688697086,0.005711077472342227,0.014196279730530902,0.012465709815860199,0.0015566987139613425,0.00628579266327782,0.005622197928282143,0.07066009829125199,0.027110941874040197,0.14925691530967788,0.21538033582844426,0.45937961595273263,0.15172383614394566,0.015090013964068429,0.03785656600315506,0.03733200597312095,0.006563440403736913,0.02845366864029123,0.026350611798147454,0.04141265302497249,0.10623020240102769,0.09826659154683047,0.018579680963730794,0.06981609724459695,0.06456961756489635,0.06545903791022535,0.16190408442512166,0.15042200208949835,0.028788951197351406,0.10315710191016172,0.09747929361410158,0.057327522527336874,0.2596062514383748,0.0,0,Boston Bruins,BOS
7,-0.5811790203888799,-0.7246163871529958,-0.5860113853118433,-0.6954506492802393,-0.7386403316767794,-0.5184116892279879,0.005085127645902762,0.016845753994467298,0.00892264397334499,0.0013865935139248005,0.008792818378808676,0.0031344658743081913,0.06898394911026362,0.0143066080536301,0.15114607249049644,0.2095781020629193,0.5074018984326123,0.1578380819752343,0.014896107509058917,0.0425137866314215,0.022063306861379802,0.008388253522897179,0.035105368138062615,0.010560857809719687,0.04152900165577108,0.12059314625223216,0.06040121946629531,0.019841771410640828,0.08787182377937733,0.02978762738890301,0.06578321938121169,0.18222798592955664,0.09564530091459972,0.030698795393081832,0.13221316451305176,0.047454532849582884,0.05469677492072452,0.30450091058884743,0.0,0,Buffalo Sabres,BUF
8,-0.5756155784996866,-0.6246990315357491,-0.6382493192440801,-0.6737598527318895,-0.6012814659141876,-0.5743515331157273,0.003883428045129504,0.007290367673423563,0.009912646230755997,0.0008295123167060732,0.0026076173450313065,0.003786991505374192,0.06819349457980128,0.01881334140069581,0.14716759762287346,0.21302549397475035,0.5521053925276055,0.16153365470451705,0.011045133904448631,0.027236802299198306,0.02649399341954243,0.005366808055512692,0.021139382056034682,0.016310407135442698,0.03222575726644605,0.0764114733020723,0.07412579386334073,0.014270653824271843,0.03897509739944752,0.04387566798662104,0.051379105475917765,0.10932536681288761,0.11663733516974009,0.02023560619535219,0.05276165091425274,0.06438622121410173,0.05901957573922887,0.36445520136027326,0.0018549844296643727,0,Montréal Canadiens,MTL
9,-0.6548123518178236,-0.7772973719406422,-0.6603372096672369,-0.7300440148031484,-0.7610653408344832,-0.592745531093446,0.005058556375221829,0.018666871885243456,0.01130461559541147,0.0013536395862864098,0.009476365282590955,0.004465303079395267,0.06919207373584607,0.021712315707965463,0.1496299122068041,0.21342126609861398,0.47051911111802863,0.1551825536852479,0.019087739448916414,0.04396938485663257,0.05605624698657935,0.007912322323694421,0.033274240852238846,0.028316390562248998,0.04529634895970453,0.12598201535426484,0.10439813710997727,0.021177344813529047,0.08971300660909916,0.06566892570281124,0.06870291840688048,0.19939921477682618,0.1397167517047351,0.03118110604668456,0.14008594279738903,0.09861320281124498,0.05677071558287289,0.26614082527960004,0.001239332329317269,1,Ottawa Senators,OTT
10,-0.6825594150066856,-0.7162463911698749,-0.686417625606729,-0.7320834957273223,-0.6971042054512017,-0.6082525308231789,0.004519246625427581,0.013802522716614323,0.014345031309842297,0.0010171622542764372,0.006695338618725528,0.00649729682382231,0.06941050504191959,0.03201245890292438,0.1560892049969388,0.2130252343884651,0.4346248433460754,0.16113694686518948,0.01331841180123197,0.043034602820032825,0.03954824338582985,0.005672929182949833,0.028801901159774403,0.03139601772144234,0.03589696823744124,0.11578494758975812,0.11353836935141402,0.014473600947257827,0.08067098444150643,0.07663817376298075,0.057242491423660544,0.1805911686513867,0.17642997642216057,0.021306190996357957,0.12431732855811982,0.11681417715387177,0.057104469256662835,0.24154435760547588,0.001069745380415586,0,Toronto Maple Leafs,TOR
12,-0.5743967013393865,-0.6687849609698522,-0.689032149780698,-0.7241193053628178,-0.7017065958014674,-0.676633901845925,0.0065427292483752906,0.013988082116001653,0.01798023708755988,0.002055618143467006,0.0070205084868030935,0.01006758771898738,0.06906826897715923,0.02738470980185867,0.15798709319910875,0.2087804941871443,0.4689987725758373,0.15228408815414277,0.023269264107366777,0.03245660178853235,0.05345124161577446,0.010213189336361922,0.024200526624301014,0.03245619166200102,0.06028200609162655,0.09124145186743819,0.1414726221124208,0.022808026263773457,0.06210631111772751,0.08736598450726588,0.08859769186646237,0.1453489391548308,0.1985719398298334,0.03435293794207067,0.09812797156600947,0.13635945817212478,0.054186808009199526,0.2710021679056914,0.00022562234162565076,1,Carolina Hurricanes,CAR
13,-0.6418853917172853,-0.7068645305645878,-0.7161737002260705,-0.7409930336298289,-0.69829443339832,-0.6754791866499559,0.006169687831019365,0.01682339399030515,0.017259752207048385,0.0016496433247903022,0.007864254907720416,0.00878176635014538,0.06915198736738556,0.04110208983044772,0.15328334675635513,0.21217879829070144,0.40394576477757466,0.15313588257313657,0.016664221690622837,0.03990572462988852,0.04545867032680332,0.006905600747668148,0.02714748378169713,0.029879792972125056,0.04586703597544897,0.11950209699967738,0.11996778474766609,0.018285405099637848,0.08030942616786821,0.07713214384578604,0.07275115544259324,0.18899433630856363,0.17901017502864208,0.0283388363184722,0.12797669778308082,0.12078583352207431,0.05748584287901426,0.21361535299248996,0.0011743882695388849,1,Florida Panthers,FLA
14,-0.6108613349980244,-0.7221022662735057,-0.7037022757281619,-0.7237496216560408,-0.7481177858385852,-0.67257064770856,0.006724720934299147,0.01949632341470957,0.01745740529808618,0.001914487010365962,0.009934927701666046,0.009182453938829374,0.06901897348757485,0.009793771930628213,0.14678190976172892,0.2121053373600362,0.515941219045176,0.16060841966584827,0.020724361305067263,0.05505217542670246,0.0422314044087803,0.009579967678319291,0.042603281414662915,0.029085633705653792,0.052119287362633285,0.14379162811151525,0.11108449607760944,0.02575765954765312,0.08685017064516441,0.08356413143825263,0.08038496070996609,0.1978818334234226,0.1701232941426965,0.0388080899614575,0.12825941932302695,0.13497884773412058,0.05783843479329955,0.32139300596532955,0.0011362368242180763,1,Tampa Bay Lightning,TBL
15,-0.6020866629827627,-0.6656092637506599,-0.6853140998740399,-0.6827069491420504,-0.6498506647104809,-0.6065066687536557,0.004654799383113635,0.012063311244685133,0.013792680439897361,0.0010301041125064024,0.004714535110961439,0.0065740641571213855,0.06848702715406862,0.01799230549299519,0.1443516997772628,0.21397278936161898,0.47774160701835344,0.16211067863597844,0.013610276334536072,0.03841234331345335,0.03906525374790949,0.004155038006926308,0.02102803738317757,0.029629202468139094,0.03792885856801522,0.09791686521571204,0.10691385245348392,0.012217212314972423,0.0574459216357334,0.08323626088460873,0.05977295113947245,0.1432362073203152,0.16703789532101904,0.019680874406739938,0.0826751787986486,0.1174442073698172,0.05830311982662754,0.277653459699004,0.0018107375583876362,0,Washington Capitals,WSH
16,-0.6305661948089776,-0.7091359994140233,-0.6623723706556565,-0.7160227737789379,-0.6820209863425748,-0.5976236414422552,0.003752043106306452,0.01131311688751092,0.01036970696675594,0.0008560777475508333,0.004974296386758229,0.004693202549165969,0.06916651349096224,0.023774303556401966,0.16052200209139983,0.21139667830028894,0.46471057177022895,0.15147811095723934,0.011074458468316404,0.030736525089685107,0.030346494079077524,0.004267824490934706,0.022499521428857618,0.02060797222633841,0.030296028236129095,0.08944594534744674,0.07977701155922336,0.01109625144401377,0.05915584502308271,0.05502868392641673,0.04759599187985149,0.1414101598830772,0.12463612469264901,0.017210338331561704,0.09241542646253567,0.08175448252503228,0.05676813001081425,0.2615580495666149,0.0,0,Chicago Blackhawks,CHI
17,-0.5896853206630289,-0.678933151142291,-0.6938906238265531,-0.6873453149321108,-0.6735582787544293,-0.6477146207739879,0.005018939128802473,0.011035651523846064,0.016279646330345045,0.0011445363931343766,0.004351800832156422,0.007630060263653506,0.0694903072400772,0.02241793434747798,0.16032605055525043,0.21257472434427147,0.4657330142188617,0.15378896464883257,0.014085712948309032,0.03460736503641416,0.04005974467857095,0.005164759994611098,0.019246668503916008,0.034459601679880526,0.040346850127066194,0.0895475738879874,0.11137828026416256,0.014702310586726223,0.05217491799052335,0.076837494612555,0.06351858117216122,0.1368153346206377,0.16922747183560835,0.022825274331178404,0.08059597997990879,0.11233950425482865,0.05812803955909671,0.2634793353898673,0.0004410187533201696,0,Detroit Red Wings,DET
18,-0.6222766533698396,-0.6659714289421442,-0.6973989026284043,-0.7136716344590439,-0.6688922692323489,-0.6247998339466101,0.004791424307470412,0.009652986974315315,0.012904695178366513,0.0010944419550395167,0.0044348946570569765,0.005827046201371573,0.06786937615938099,0.02640902544407105,0.15797815815226854,0.2091836459478979,0.4840758521363418,0.1595751706581973,0.016553338268038394,0.02675468074891983,0.03796206795108099,0.0051137766308676814,0.01593739904519186,0.021192198920189517,0.045094713372551255,0.07450792126740279,0.09479409945905705,0.013468652367625048,0.04581745832329127,0.05915084291328461,0.06954607705931536,0.11693230916946712,0.14139564483882783,0.0214136707849162,0.07470271212688386,0.09038821757813935,0.05605629312613114,0.2781558152533421,0.0016252249605171337,0,Nashville Predators,NSH
19,-0.62425962327958,-0.6540650315090457,-0.6201494841249415,-0.7167972806551342,-0.6366078094041293,-0.5661633498492398,0.005346826456649464,0.010333614557521095,0.01034896579250025,0.0012841395660160633,0.0039312913566798705,0.004313366980462131,0.06772866179537551,0.025532763119744853,0.15989877728637986,0.20935411200354373,0.46564674543345896,0.15783332939163888,0.01713638064456652,0.03165319657871847,0.03877839005431655,0.008724240950838605,0.022051158688156523,0.016475635917866993,0.0507946411420981,0.08988112496375761,0.07869987150076074,0.020052813827981752,0.049842693873315504,0.04646031259577076,0.08040370390138075,0.13494400550884314,0.11301626343132386,0.028923170175656904,0.07444093827090614,0.07045050566962918,0.05593261257265402,0.2649063474319244,0.00015936254980079682,0,St. Louis Blues,STL
20,-0.6490104598331968,-0.6827866001068538,-0.7078047049919586,-0.752337361498916,-0.7168881673391961,-0.6958814504228057,0.00671905187432721,0.013972820773901157,0.01620028008720685,0.0018938694307448305,0.006756561169925087,0.008987604936039418,0.0701549107893327,0.03631215124510702,0.16572198921509887,0.21048347791593044,0.42428999750145746,0.1542959856201318,0.018092174882658917,0.04551928041975514,0.03936488915518274,0.0077734815530852265,0.02986268270686927,0.030984282401442926,0.04978666357062778,0.10869076372116265,0.10482324745356501,0.02217877176794528,0.07233405366775,0.071437773769647,0.0796023645996979,0.16813525443491298,0.1610545236668664,0.033332845125981905,0.10720362776293624,0.11119188721610777,0.05498288833233251,0.21947370212186698,0.0009754481540103803,1,Calgary Flames,CGY
21,-0.7057259971490503,-0.7251709219432776,-0.6572647847197991,-0.7637952051769559,-0.6959620912793488,-0.5876548157742181,0.006140457066097806,0.015588988590320183,0.013169483770963948,0.001650819524557477,0.007197994101758627,0.00523889734211277,0.06481826252989185,0.06392829857817475,0.1511630961606662,0.2279571737949142,0.37229466084878815,0.16957823808335412,0.017822112726927544,0.03822469248478447,0.045834263722695806,0.007775401435803929,0.022796822696289094,0.028141504733432986,0.05117608663516408,0.09948162087052828,0.1100311297334927,0.022055970136034095,0.06690455936453926,0.06554060787244644,0.08156710454661807,0.15492408899098092,0.15994378259099207,0.035524514834554245,0.10459361224963266,0.09798704534130544,0.06877616551307139,0.18308163107482572,0.008031888390632786,1,Colorado Avalanche,COL
