player,team,age,pos,GP,W,L,OTL,GA,SA,SV,SV%,GAA,SO,QS,RBS,VOR,Rank,Pts,,Fantasy Team,GP Org,,
John Gibson,ANA,32,G,42,14,22,4,137,1367,1229,0.900,3.27,1,23,9,-401,49,165,52,,42,,
Pheonix Copley,LAK,34,G,16,10,4,2,44,443,399,0.901,2.76,1,9,4,-440,54,65,53,,16,,
Philipp Grubauer,SEA,34,G,35,15,17,3,102,946,844,0.892,2.92,1,17,9,-476,57,117,54,,35,,
Alex Nedeljkovic,PIT,30,G,32,15,12,5,101,991,890,0.898,3.17,1,16,7,-472,56,127,55,,32,,
Akira Schmid,NJD,25,G,25,12,11,3,70,752,682,0.906,2.82,1,13,5,-281,42,106,56,,25,,
Alexandar Georgiev,2TM,29,G,25,13,9,2,75,728,654,0.898,2.98,1,12,5,-477,58,98,57,,25,,
Eric Comrie,WPG,30,G,22,10,11,1,64,630,567,0.899,2.89,1,12,4,-484,59,83,58,,22,,
Antti Raanta,CAR,36,G,16,10,4,2,43,427,383,0.898,2.71,1,8,4,-470,55,63,59,,16,,
Dustin Tokarski,CAR,36,G,5,3,2,0,13,132,119,0.901,2.61,0,3,1,-532,63,19,60,,5,,
Elvis Merzlikins,CBJ,31,G,44,18,20,5,146,1354,1207,0.892,3.32,1,20,10,-506,61,162,61,,44,,
Jake Allen,NJD,35,G,30,12,16,2,94,924,830,0.898,3.14,2,15,7,-503,60,117,62,,30,,
Vi­tek Vanecek,2TM,30,G,22,11,8,2,65,639,574,0.898,2.96,1,12,5,-509,62,86,63,,22,,
Devon Levi,BUF,24,G,30,14,14,2,96,927,831,0.896,3.21,1,15,6,-541,64,118,64,,30,,
Daniel Vladar,CGY,28,G,25,12,9,4,76,722,646,0.895,3.03,1,13,5,-557,65,94,65,,25,,
Justus Annunen,2TM,25,G,19,10,9,1,57,555,498,0.897,3.01,1,10,3,-579,66,75,66,,19,,
Joel Blomqvist,PIT,24,G,35,15,19,3,116,1087,971,0.893,3.32,1,17,9,-586,67,133,67,,35,,
Daniil Tarasov,CBJ,26,G,28,11,14,3,91,871,780,0.896,3.23,1,13,7,-609,68,106,68,,28,,
Petr Mrazek,2TM,33,G,20,7,11,1,62,614,552,0.899,3.11,0,10,4,-616,69,75,69,,20,,
Nico Daws,NJD,25,G,7,3,3,0,21,205,185,0.900,2.93,0,4,2,-659,70,27,70,,7,,
