All Goalies   Projections Standard Categories
Avail,Player,GGP,W,L,SO,GAA,GA,S,SPct,FPTS,
W ,Frederik Andersen G | CAR,65,36.72,24.28,3.95,2.60,169.22,1500.04,.899,175.74
W ,Andrei Vasilevskiy G | TB,65,36.69,24.31,3.47,2.74,178.34,1526.28,.895,168.96
W ,MacKenzie Blackwood G | COL ,65,35.99,25.01,3.55,2.69,175.14,1516.27,.896,168.40
Shazam!!!,Jake Oettinger G | DAL,65,34.18,26.82,3.45,2.73,177.65,1543.79,.897,164.24
W ,Adin Hill G | LV,65,34.49,26.51,3.37,2.76,179.34,1536.02,.895,161.25
South Calgary Oilers,Stuart Skinner G | EDM ,65,34,27,3.32,2.77,179.87,1534.81,.895,158.66
The Inglorious Basteeerds,Connor Hellebuyck G | WPG,65,34.51,26.49,3.32,2.77,179.94,1524.82,.894,158.43
W ,Darcy Kuemper G | LA,65,32.96,28.04,3.5,2.74,178.02,1537.67,.896,158.37
W ,Anthony Stolarz G | TOR,65,33.55,27.45,3.29,2.79,181.52,1550.17,.895,157.99
W ,Sergei Bobrovsky G | FLA ,65,34,27,3.25,2.80,182.15,1527.99,.893,154.58
W ,Jordan Binnington G | STL,65,32.21,28.79,3.26,2.79,181.48,1549.52,.895,153.23
3sheets Sports Entertainment,Logan Thompson G | WAS,65,32.87,28.13,2.97,2.87,186.73,1564.22,.893,151.79
3sheets Sports Entertainment,Filip Gustavsson G | MIN,65,29.59,31.41,3.4,2.75,178.87,1552.42,.897,148.12
The Pylons,Igor Shesterkin G | NYR,65,31.48,29.52,3.16,2.83,184.14,1543.11,.893,145.85
W ,Elvis Merzlikins G | CLB ,65,31.9,29.1,2.94,2.90,188.22,1549.09,.892,144.16
W ,John Gibson G | DET ,65,29.13,31.87,3.23,2.82,183.03,1558.48,.895,142.27
W ,Karel Vejmelka G | UTA,65,29.87,31.13,3.12,2.83,183.92,1549.01,.894,141.71
LIP's Lasers,Jacob Markstrom G | NJ,65,30.07,30.93,3.25,2.80,181.9,1528.76,.894,140.93
CinStars,Linus Ullmark G | OTT,65,29.91,31.09,3.09,2.84,184.38,1546.55,.893,140.75
W ,Tristan Jarry G | PIT,65,30.34,30.66,2.96,2.88,187.26,1558.02,.893,140.71
W ,Joey Daccord G | SEA,65,29.71,31.29,3.03,2.87,186.62,1562.29,.893,140.36
W ,Sam Montembeault G | MON ,65,29.27,31.73,3.03,2.87,186.55,1550.42,.893,136.39
W ,Thatcher Demko G | VAN ,65,27.97,33.03,3.02,2.87,186.6,1569.07,.894,135.74
W ,Ilya Sorokin G | NYI,65,27.98,33.02,3.06,2.85,184.93,1546.07,.893,133.24
The Dook of Sook,Dustin Wolf G | CGY ,65,27.1,33.9,3,2.85,185.13,1563.11,.894,133.20
LIP's Lasers,Lukas Dostal G | ANA ,65,26.31,34.69,2.97,2.88,187.03,1580.96,.894,131.59
The Dook of Sook,Yaroslav Askarov G | SJ,65,25.2,35.8,3.03,2.86,185.98,1578.12,.895,128.60
W ,Samuel Ersson G | PHI,65,27.67,33.33,2.91,2.90,188.27,1548.72,.892,128.36
The Pylons,Jeremy Swayman G | BOS,65,26.2,34.8,2.91,2.90,188.59,1560.43,.892,125.10
re-degeneration X 2.0,Juuse Saros G | NSH,65,24.65,36.35,2.79,2.90,188.45,1565.09,.893,120.73
South Calgary Oilers,Ukko-Pekka Luukkonen G | BUF ,65,28.43,32.57,2.43,3.05,198.57,1563.22,.887,120.33
New Oilers Nation,Spencer Knight G | CHI ,65,23.64,37.36,2.54,3.02,196.62,1583.76,.890,110.43
The Dook of Sook,Pyotr Kochetkov G | CAR,22,12.84,8.16,1.39,2.64,58.02,515.39,.899,61.34
W ,Casey DeSmith G | DAL,22,12.37,8.63,1.23,2.71,59.66,525.63,.898,59.34
W ,Eric Comrie G | WPG,22,11.57,9.43,1.15,2.83,62.2,538.13,.896,55.71
W ,Jonas Johansson G | TB,22,12.07,8.93,1,2.94,64.62,536.78,.893,54.11
HawtSawwce,Joseph Woll G | TOR,22,11.43,9.57,1.13,2.82,62.11,530.91,.895,53.87
W ,Anton Forsberg G | LA ,22,11.26,9.74,1.22,2.81,61.74,528.74,.895,53.46
W ,Daniil Tarasov G | FLA ,22,11.55,9.45,1.11,2.86,62.82,529.3,.894,53.09
W ,Jakub Dobes G | MON ,22,10.73,10.27,1.21,2.79,61.38,533.7,.897,52.93
W ,Vitek Vanecek G | UTA ,22,10.81,10.19,1.18,2.79,61.29,527.6,.896,52.17
W ,Akira Schmid G | LV,22,11.42,9.58,1.13,2.84,62.41,523.83,.894,52.10
W ,Scott Wedgewood G | COL,22,11.39,9.61,1.05,2.91,64.05,533.85,.893,51.77
Shazam!!!,Joel Hofer G | STL ,22,11.12,9.88,1.1,2.86,62.87,528.26,.894,51.26
W ,Jonathan Quick G | NYR,22,10.8,10.2,1.05,2.92,64.18,538.39,.893,50.48
W ,Dan Vladar G | PHI ,22,10.02,10.98,1.12,2.86,62.82,537.66,.895,49.40
W ,Jet Greaves G | CLB,22,10.37,10.63,0.99,2.96,65.17,542.79,.893,48.76
W ,Leevi Merilainen G | OTT ,22,10.23,10.77,1.12,2.84,62.53,528.24,.894,48.59
W ,Kevin Lankinen G | VAN ,22,10.28,10.72,1.17,2.81,61.84,522.11,.894,48.50
W ,Calvin Pickard G | EDM ,22,11.2,9.8,1,2.93,64.54,523.07,.890,48.31
W ,Charlie Lindgren G | WAS,22,11.04,9.96,0.96,2.99,65.83,533.68,.890,48.22
W ,Philipp Grubauer G | SEA ,22,10.01,10.99,1.01,2.94,64.63,537.32,.893,46.91
W ,Cam Talbot G | DET,22,10.1,10.9,1.06,2.91,64.03,527.97,.892,46.23
W ,Jake Allen G | NJ ,22,9.63,11.37,0.95,2.99,65.76,543.74,.892,45.40
W ,Arturs Silovs G | PIT ,22,10,11,0.92,3.00,65.9,536.75,.891,45.10
W ,Semyon Varlamov G | NYI ,22,9.33,11.67,1.05,2.93,64.43,534.69,.892,44.32
W ,Jesper Wallstedt G | MIN,22,9.42,11.58,1,2.98,65.62,540.65,.892,44.30
W ,Joonas Korpisalo G | BOS,22,9.13,11.87,0.99,2.95,64.96,537.73,.892,43.56
W ,Petr Mrazek G | ANA ,22,9.14,11.86,0.99,2.95,64.8,535.54,.892,43.42
W ,Alex Lyon G | BUF ,22,9.63,11.37,0.84,3.14,69.06,550.13,.888,42.37
W ,Arvid Soderblom G | CHI ,22,8.52,12.48,0.93,3.02,66.48,549.44,.892,41.84
W ,Alex Nedeljkovic G | SJ ,22,8.27,12.73,0.97,2.97,65.26,543.33,.893,41.32
W ,Justus Annunen G | NSH,22,8.88,12.12,1.01,2.91,64.06,521.55,.891,40.72
W ,Ivan Prosvetov G | CGY ,22,8.85,12.15,0.89,3.06,67.23,536.91,.889,39.36
W ,Kirill Ustimenko G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ,Matt Onuska G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ,Marc-Andre Fleury G | MIN ,0,0,0,0,0.00,0,0,.000,0.00
W ,Matt Tomkins G | TB ,0,0,0,0,0.00,0,0,.000,0.00
W ,Evan Cormier G | FLA,0,0,0,0,0.00,0,0,.000,0.00
W ,Kyle Konin G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ,Mans Goos G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ,Peyton Jones G | COL,0,0,0,0,0.00,0,0,.000,0.00
W ,Keith Kinkaid G | NJ,0,0,0,0,0.00,0,0,.000,0.00
W ,Jett Alexander G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ,Thomas Milic G | WPG,0,0,0,0,0.00,0,0,.000,0.00
W ,Alexandar Georgiev G | BUF ,0,0,0,0,0.00,0,0,.000,0.00
W ,Tyler Wall G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ,Adam Gajan G | CHI,0,0,0,0,0.00,0,0,.000,0.00
W ,Andrew Oke G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ,Anson Thornton G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ,Victor Ostman G | SEA,0,0,0,0,0.00,0,0,.000,0.00
W ,Semyon Frolov G | CAR,0,0,0,0,0.00,0,0,.000,0.00
W ,Brandon Halverson G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ,Drew Commesso G | CHI,0,0,0,0,0.00,0,0,.000,0.00
W ,Jack Ivankovic G | NSH,0,0,0,0,0.00,0,0,.000,0.00
W ,Olivier Rodrigue G | EDM ,0,0,0,0,0.00,0,0,.000,0.00
W ,Kaden Fulcher G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ,Carter George G | LA,0,0,0,0,0.00,0,0,.000,0.00
W ,Ken Appleby G | NYI,0,0,0,0,0.00,0,0,.000,0.00
W ,Michael DiPietro G | BOS ,0,0,0,0,0.00,0,0,.000,0.00
W ,Michael Hutchinson G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ,Tristan Lennox G | NYI,0,0,0,0,0.00,0,0,.000,0.00
W ,Josef Korenar G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ,Carter Hart G | PHI ,0,0,0,0,0.00,0,0,.000,0.00
W ,Ian Scott G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ,Kyle Keyser G | BOS ,0,0,0,0,0.00,0,0,.000,0.00
W ,Dustin Nickel G | CGY,0,0,0,0,0.00,0,0,.000,0.00
W ,Isaiah Saville G | LV,0,0,0,0,0.00,0,0,.000,0.00
W ,Jiri Patera G | VAN,0,0,0,0,0.00,0,0,.000,0.00
W ,Landon Bow G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ,Jack LaFontaine G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ,Ivan Fedotov G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ,Samuel Richard G | TOR,0,0,0,0,0.00,0,0,.000,0.00
