All Goalies   Projections Standard Categories
Avail,Player,GGP,W,L,SO,GAA,GA,S,SPct,FPTS,
The Dook of Sook,Yaroslav Askarov G | SJ,65,25.2,35.8,3.03,2.86,185.98,1578.12,.895,128.60
W ( 9/22),Samuel Ersson G | PHI,65,27.67,33.33,2.91,2.90,188.27,1548.72,.892,128.36
HawtSawwce,Jeremy Swayman G | BOS,65,26.2,34.8,2.91,2.90,188.59,1560.43,.892,125.10
re-degeneration X 2.0,Juuse Saros G | NSH,65,24.65,36.35,2.79,2.90,188.45,1565.09,.893,120.73
South Calgary Oilers,"Ukko-Pekka Luukkonen G | BUF ",65,28.43,32.57,2.43,3.05,198.57,1563.22,.887,120.33
New Oilers Nation,Spencer Knight G | CHI ,65,23.64,37.36,2.54,3.02,196.62,1583.76,.890,110.43
W ( 9/22),Pyotr Kochetkov G | CAR,22,12.84,8.16,1.39,2.64,58.02,515.39,.899,61.34
W ( 9/22),Casey DeSmith G | DAL,22,12.37,8.63,1.23,2.71,59.66,525.63,.898,59.34
W ( 9/22),Eric Comrie G | WPG,22,11.57,9.43,1.15,2.83,62.2,538.13,.896,55.71
W ( 9/22),Jonas Johansson G | TB,22,12.07,8.93,1,2.94,64.62,536.78,.893,54.11
HawtSawwce,Joseph Woll G | TOR ,22,11.43,9.57,1.13,2.82,62.11,530.91,.895,53.87
W ( 9/22),Anton Forsberg G | LA ,22,11.26,9.74,1.22,2.81,61.74,528.74,.895,53.46
W ( 9/22),Daniil Tarasov G | FLA ,22,11.55,9.45,1.11,2.86,62.82,529.3,.894,53.09
W ( 9/22),Jakub Dobes G | MON ,22,10.73,10.27,1.21,2.79,61.38,533.7,.897,52.93
W ( 9/22),Vitek Vanecek G | UTA ,22,10.81,10.19,1.18,2.79,61.29,527.6,.896,52.17
W ( 9/22),Akira Schmid G | LV,22,11.42,9.58,1.13,2.84,62.41,523.83,.894,52.10
W ( 9/22),Scott Wedgewood G | COL,22,11.39,9.61,1.05,2.91,64.05,533.85,.893,51.77
W ( 9/22),Joel Hofer G | STL ,22,11.12,9.88,1.1,2.86,62.87,528.26,.894,51.26
W ( 9/22),Jonathan Quick G | NYR,22,10.8,10.2,1.05,2.92,64.18,538.39,.893,50.48
W ( 9/22),Dan Vladar G | PHI ,22,10.02,10.98,1.12,2.86,62.82,537.66,.895,49.40
W ( 9/22),Jet Greaves G | CLB,22,10.37,10.63,0.99,2.96,65.17,542.79,.893,48.76
W ( 9/22),Leevi Merilainen G | OTT ,22,10.23,10.77,1.12,2.84,62.53,528.24,.894,48.59
W ( 9/22),Kevin Lankinen G | VAN ,22,10.28,10.72,1.17,2.81,61.84,522.11,.894,48.50
W ( 9/22),Calvin Pickard G | EDM,22,11.2,9.8,1,2.93,64.54,523.07,.890,48.31
W ( 9/22),Charlie Lindgren G | WAS,22,11.04,9.96,0.96,2.99,65.83,533.68,.890,48.22
W ( 9/22),Philipp Grubauer G | SEA ,22,10.01,10.99,1.01,2.94,64.63,537.32,.893,46.91
W ( 9/22),Cam Talbot G | DET,22,10.1,10.9,1.06,2.91,64.03,527.97,.892,46.23
W ( 9/22),Jake Allen G | NJ ,22,9.63,11.37,0.95,2.99,65.76,543.74,.892,45.40
W ( 9/22),Arturs Silovs G | PIT ,22,10,11,0.92,3.00,65.9,536.75,.891,45.10
W ( 9/22),Semyon Varlamov G | NYI ,22,9.33,11.67,1.05,2.93,64.43,534.69,.892,44.32
W ( 9/22),Jesper Wallstedt G | MIN,22,9.42,11.58,1,2.98,65.62,540.65,.892,44.30
W ( 9/22),Joonas Korpisalo G | BOS,22,9.13,11.87,0.99,2.95,64.96,537.73,.892,43.56
W ( 9/22),Petr Mrazek G | ANA ,22,9.14,11.86,0.99,2.95,64.8,535.54,.892,43.42
W ( 9/22),Alex Lyon G | BUF ,22,9.63,11.37,0.84,3.14,69.06,550.13,.888,42.37
W ( 9/22),Arvid Soderblom G | CHI ,22,8.52,12.48,0.93,3.02,66.48,549.44,.892,41.84
W ( 9/22),Alex Nedeljkovic G | SJ ,22,8.27,12.73,0.97,2.97,65.26,543.33,.893,41.32
W ( 9/22),Justus Annunen G | NSH,22,8.88,12.12,1.01,2.91,64.06,521.55,.891,40.72
W ( 9/22),Ivan Prosvetov G | CGY ,22,8.85,12.15,0.89,3.06,67.23,536.91,.889,39.36
W ( 9/22),Carl Lindbom G | LV,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ben Kraws G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jakub Skarek G | NYI ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Caleb Heil G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Pavel Francouz G | COL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Aleksei Kolosov G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Will Cranley G | STL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ian Scott G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Semyon Frolov G | CAR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Matt Berlin G | EDM,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Matt Onuska G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Calvin Petersen G | MIN ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Josef Korenar G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Cale Morris G | CHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Stefanos Lekkas G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Alex Stalock G | ANA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jack Ivankovic G | NSH,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Joel Blomqvist G | PIT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Devon Levi G | BUF ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Daniel Salonen G | EDM,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jaroslav Halak G | NYR ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Brian Elliott G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Dustin Tokarski G | CAR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Kevin Mandolese G | COL ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Kaapo Kahkonen G | MON ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Beck Warm G | CAR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Michal Pradel G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Hunter Shepard G | WAS ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Eetu Makiniemi G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Dereck Baribeau G | MIN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Michael Hrabal G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Roddy Ross G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Cameron Johnson G | CLB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Magnus Hellberg G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Cole Kehler G | WPG,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Zane McIntyre G | MIN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Brian Eklund G | BOS,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Vasili Demchenko G | MON,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jacob Fowler G | MON,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Emil Larmi G | PIT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Anton Khudobin G | DAL ,0,0,0,0,0.00,0,0,.000,0.00
