share_top_1,share_top_3,share_top_5,share_top_10,hhi,gini,team_id,bucket,total_seconds,num_units,pair_dd_share,pair_ff_share,trio_fwd_share,full_name,tri_code
0.012217338627660798,0.03252446767043016,0.04996051023094542,0.08919857877647702,0.0042927931702919095,-0.575607191618796,1,pairs_EV,2940002.0,516,0.07165845465411248,0.2155961118393797,,New Jersey Devils,NJD
0.017814822093611998,0.05038359601287898,0.07992119307512922,0.1401780012844696,0.006396215751839671,-0.5633402300008103,2,pairs_EV,3266718.0,357,0.06883820397108045,0.20944538218481057,,New York Islanders,NYI
0.018997684682085975,0.055426926782554155,0.0891533808454267,0.16033783471027258,0.007087217134912992,-0.6806401843718252,3,pairs_EV,3262187.0,458,0.068952515597665,0.21611881844909564,,New York Rangers,NYR
0.01970609018068657,0.046046073678430895,0.06826015661320659,0.1156706456785265,0.005283001719116712,-0.5860338070749445,4,pairs_EV,2970503.0,456,0.07043992212766659,0.2129672988042766,,Philadelphia Flyers,PHI
0.01797311985737222,0.04910460901697008,0.07868294058934946,0.14408336557214171,0.006854824122770284,-0.686165486984934,5,pairs_EV,2633989.0,490,0.0696502529053842,0.21202062726913437,,Pittsburgh Penguins,PIT
0.015449335511944969,0.04110220510685061,0.0642697754663937,0.11719723516736075,0.005468930343445508,-0.6268587898353849,6,pairs_EV,3186739.0,490,0.06996211487668115,0.20845039396072285,,Boston Bruins,BOS
0.018218648708969522,0.04709326016115553,0.07226923252672487,0.12548635744472905,0.005676349432486202,-0.5450585600153348,7,pairs_EV,2648001.0,384,0.06857927923743232,0.2134394964352355,,Buffalo Sabres,BUF
0.022035196890660264,0.0581121375725147,0.0849651611885895,0.1413737759694147,0.005649752924192925,-0.56064435924275,8,pairs_EV,2739617.0,422,0.0689224077672171,0.21127004249134093,,Montréal Canadiens,MTL
0.01586525739236988,0.04461508327416,0.06961219174810386,0.1255509565669511,0.005930296193109054,-0.619826746770495,9,pairs_EV,2792643.0,430,0.07246898368319904,0.21130162358740448,,Ottawa Senators,OTT
0.015213805938626543,0.042052241958241234,0.06295715811413491,0.11210516228522001,0.005025940651770268,-0.5796383569969507,10,pairs_EV,3172316.0,469,0.06979474932509876,0.21344122086198222,,Toronto Maple Leafs,TOR
0.022232095160321267,0.05521821783549968,0.08094362345117359,0.12974872410407529,0.00605331452027091,-0.6116954865232058,12,pairs_EV,3002596.0,418,0.07109581175755912,0.2138326301640314,,Carolina Hurricanes,CAR
0.016870922829028676,0.047571609592791324,0.07671073009714813,0.14191824538898362,0.006784606089768372,-0.6447333483985999,13,pairs_EV,3196150.0,411,0.06980836318695931,0.21619072947139528,,Florida Panthers,FLA
0.022333421272369567,0.05362448651159171,0.0832166266895094,0.15029328680061246,0.006674899268734233,-0.6224666811721525,14,pairs_EV,2801183.0,410,0.0689758577001217,0.21719037992162596,,Tampa Bay Lightning,TBL
0.01579336877744383,0.042781143755351796,0.06769149926595078,0.12201529196563728,0.006115540525183664,-0.6117943799662877,15,pairs_EV,2409239.0,409,0.0703537507071735,0.21619980417052853,,Washington Capitals,WSH
0.015684838936580618,0.04319892509627925,0.06660189617918347,0.1151447023437083,0.004696770827756811,-0.6041911212133891,16,pairs_EV,3166051.0,570,0.06937222426296986,0.21338380209289112,,Chicago Blackhawks,CHI
0.015020115950720172,0.040048284464118185,0.06249994204009589,0.11004468322207608,0.0053838636020585254,-0.5266978732195944,17,pairs_EV,3234995.0,367,0.06909067865638123,0.21137003302941734,,Detroit Red Wings,DET
0.01893077643671717,0.054611676422940125,0.08659085894772976,0.15595876882547577,0.006626986827255403,-0.6312117729250207,18,pairs_EV,3041291.0,440,0.0693669234545461,0.2131305422598495,,Nashville Predators,NSH
0.023718394590569562,0.05682471978203293,0.0868740101745773,0.15313174323361167,0.006938828089459637,-0.6426673693760718,19,pairs_EV,3260676.0,416,0.07084788553048509,0.2143552441272914,,St. Louis Blues,STL
0.01707098153028338,0.0446059063879743,0.07095251721925355,0.12589104464438688,0.005171324503826873,-0.625876573045504,20,pairs_EV,3274387.0,577,0.07047120575545895,0.2055135816261181,,Calgary Flames,CGY
